Orthogroup	HART001	HART027	HART058	HART060	HART061	HART062	HART063	HART067	HART068	N1523	N9750	Total
OG0000000	116	86	118	69	84	100	121	179	75	3	66	1017
OG0000001	56	67	47	69	62	65	60	58	62	0	64	610
OG0000002	63	49	72	33	53	55	65	62	44	1	26	523
OG0000003	55	42	58	36	59	56	55	55	29	20	36	501
OG0000004	39	38	43	26	44	46	46	43	27	36	23	411
OG0000005	30	35	34	26	32	34	32	29	25	47	21	345
OG0000006	27	28	28	18	28	28	30	28	19	61	15	310
OG0000007	41	33	39	17	33	34	43	40	15	1	11	307
OG0000008	25	32	31	19	33	36	26	21	15	35	15	288
OG0000009	43	15	49	7	26	21	52	41	12	0	10	276
OG0000010	18	27	26	27	26	25	19	18	27	14	28	255
OG0000011	30	21	25	16	30	31	31	30	18	0	18	250
OG0000012	23	27	30	13	28	30	24	26	14	18	15	248
OG0000013	34	27	13	10	14	14	35	29	10	43	13	242
OG0000014	31	31	27	14	30	30	30	30	11	2	6	242
OG0000015	26	27	24	16	26	25	28	26	13	11	9	231
OG0000016	26	22	23	18	25	26	26	24	16	2	10	218
OG0000017	20	20	16	13	17	18	21	21	16	34	12	208
OG0000018	17	14	22	6	20	21	19	17	6	31	4	177
OG0000019	13	15	16	19	17	14	14	14	18	10	19	169
OG0000020	17	14	18	10	17	18	18	17	11	10	8	158
OG0000021	17	15	9	12	9	11	18	13	13	29	11	157
OG0000022	20	18	17	5	18	17	20	16	7	11	8	157
OG0000023	11	14	14	9	13	12	13	12	12	26	7	143
OG0000024	12	15	15	8	17	16	14	12	9	11	12	141
OG0000025	13	14	14	13	10	13	13	15	14	9	12	140
OG0000026	13	13	13	13	13	13	13	13	13	7	13	137
OG0000027	16	12	15	4	13	15	18	14	8	15	6	136
OG0000028	12	12	12	9	11	11	13	11	10	19	11	131
OG0000029	14	14	12	10	12	13	14	12	12	7	10	130
OG0000030	14	16	15	1	16	15	16	15	2	17	2	129
OG0000031	5	17	6	24	13	16	5	6	17	1	19	129
OG0000032	13	11	11	13	11	13	12	13	13	6	12	128
OG0000033	14	12	8	7	9	10	15	13	9	21	5	123
OG0000034	14	10	13	16	10	10	17	11	7	4	10	122
OG0000035	9	17	14	11	14	10	9	9	10	10	8	121
OG0000036	11	10	10	8	12	11	11	11	10	17	9	120
OG0000037	11	10	11	7	11	8	11	10	6	24	9	118
OG0000038	10	10	10	7	10	9	12	10	10	19	9	116
OG0000039	11	13	11	7	12	10	12	10	8	12	7	113
OG0000040	12	11	11	7	11	11	14	10	7	11	4	109
OG0000041	11	9	10	10	9	10	11	11	11	6	10	108
OG0000042	10	11	9	8	11	11	10	10	8	7	10	105
OG0000043	10	9	8	10	9	10	10	10	11	7	10	104
OG0000044	8	11	8	8	9	11	10	9	10	9	10	103
OG0000045	9	10	9	9	9	9	9	9	10	6	9	98
OG0000046	11	8	8	8	9	9	10	10	9	7	9	98
OG0000047	16	7	7	5	12	8	17	8	6	4	5	95
OG0000048	7	8	9	10	9	9	10	10	10	7	4	93
OG0000049	8	10	10	9	9	10	10	10	7	2	7	92
OG0000050	10	10	8	6	8	8	10	10	7	6	8	91
OG0000051	9	9	9	5	9	9	11	9	5	9	6	90
OG0000052	9	9	9	9	9	9	9	9	7	6	4	89
OG0000053	9	11	8	6	8	7	9	9	6	9	6	88
OG0000054	14	1	13	0	15	16	14	14	0	0	0	87
OG0000055	11	8	7	6	7	7	15	10	6	3	6	86
OG0000056	10	11	12	3	10	10	12	11	3	2	2	86
OG0000057	9	6	8	8	7	7	9	9	5	11	6	85
OG0000058	7	7	7	6	4	4	10	7	4	25	4	85
OG0000059	9	11	9	6	6	9	8	8	5	8	5	84
OG0000060	5	8	8	3	12	10	7	6	1	21	1	82
OG0000061	9	9	10	6	11	10	9	8	5	1	4	82
OG0000062	8	8	8	8	8	8	8	8	8	4	6	82
OG0000063	8	6	7	8	7	7	7	7	9	6	9	81
OG0000064	10	8	5	6	8	8	10	8	5	7	6	81
OG0000065	7	7	8	7	5	7	8	8	7	10	7	81
OG0000066	8	8	8	7	7	7	8	8	8	4	8	81
OG0000067	11	8	8	5	9	10	11	9	5	1	3	80
OG0000068	8	9	9	7	7	7	9	8	5	6	5	80
OG0000069	6	8	9	6	9	9	8	7	6	6	6	80
OG0000070	10	6	6	3	6	4	14	10	4	11	5	79
OG0000071	11	6	7	4	7	7	12	9	6	5	4	78
OG0000072	9	7	7	6	7	8	10	8	6	4	6	78
OG0000073	7	9	7	4	8	7	7	6	5	14	4	78
OG0000074	8	7	7	10	7	8	11	5	6	0	9	78
OG0000075	6	8	8	6	10	8	7	7	4	7	7	78
OG0000076	11	12	12	0	9	10	11	11	0	0	0	76
OG0000077	10	5	11	1	10	9	11	11	3	4	1	76
OG0000078	5	6	7	6	5	7	11	8	6	5	6	72
OG0000079	7	7	6	6	6	6	8	8	6	5	6	71
OG0000080	7	6	7	6	7	6	8	7	6	5	6	71
OG0000081	3	2	2	0	3	3	3	2	1	52	0	71
OG0000082	7	5	7	7	6	6	7	7	7	4	7	70
OG0000083	7	7	6	5	7	7	7	6	5	6	7	70
OG0000084	5	5	6	7	6	6	5	4	7	15	4	70
OG0000085	7	6	7	7	6	6	7	5	7	4	7	69
OG0000086	7	8	6	6	6	7	5	6	7	4	7	69
OG0000087	5	8	7	8	6	7	5	6	7	3	7	69
OG0000088	6	5	5	7	8	8	9	4	8	2	6	68
OG0000089	8	5	6	5	6	6	9	7	5	6	5	68
