Number of species	11
Number of genes	322773
Number of genes in orthogroups	317910
Number of unassigned genes	4863
Percentage of genes in orthogroups	98.5
Percentage of unassigned genes	1.5
Number of orthogroups	24127
Number of species-specific orthogroups	129
Number of genes in species-specific orthogroups	361
Percentage of genes in species-specific orthogroups	0.1
Mean orthogroup size	13.2
Median orthogroup size	11.0
G50 (assigned genes)	18
G50 (all genes)	20
O50 (assigned genes)	7061
O50 (all genes)	8047
Number of orthogroups with all species present	15251
Number of single-copy orthogroups	4441
Date	2026-02-04
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	7892	32.7	39340	12.4
'1	14950	62.0	237576	74.7
'2	1073	4.4	26791	8.4
'3	115	0.5	4193	1.3
'4	42	0.2	2038	0.6
'5	14	0.1	831	0.3
'6	6	0.0	430	0.1
'7	8	0.0	655	0.2
'8	2	0.0	188	0.1
'9	2	0.0	200	0.1
'10	3	0.0	338	0.1
11-15	4	0.0	565	0.2
16-20	4	0.0	754	0.2
21-50	10	0.0	2823	0.9
51-100	2	0.0	1188	0.4
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	129
2	1968
3	1786
4	735
5	476
6	497
7	490
8	577
9	608
10	1610
11	15251
