Number of species	22
Number of genes	336911
Number of genes in orthogroups	332872
Number of unassigned genes	4039
Percentage of genes in orthogroups	98.8
Percentage of unassigned genes	1.2
Number of orthogroups	20907
Number of species-specific orthogroups	215
Number of genes in species-specific orthogroups	600
Percentage of genes in species-specific orthogroups	0.2
Mean orthogroup size	15.9
Median orthogroup size	18.0
G50 (assigned genes)	21
G50 (all genes)	22
O50 (assigned genes)	6662
O50 (all genes)	9694
Number of orthogroups with all species present	4420
Number of single-copy orthogroups	3275
Date	2026-02-24
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	14758	70.6	177203	53.2
'1	5980	28.6	145318	43.7
'2	123	0.6	6371	1.9
'3	32	0.2	2340	0.7
'4	5	0.0	485	0.1
'5	5	0.0	591	0.2
'6	3	0.0	409	0.1
'7	1	0.0	155	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	215
2	1574
3	1110
4	607
5	378
6	324
7	305
8	299
9	300
10	538
11	1280
12	2388
13	265
14	298
15	391
16	407
17	550
18	858
19	1099
20	1153
21	2148
22	4420
