#Taxon_ID	Increase	Decrease
<26>	24	271
<27>	115	169
HART001A<8>	52	245
HART027A<4>	131	963
<22>	22	31
<23>	567	99
N9750A<1>	84	658
HART068A<2>	552	742
HART063B<17>	579	63
<24>	129	958
HART058A<6>	128	307
HART060A<3>	90	832
HART063A<7>	612	131
<25>	36	695
Batocarpus<10>	1744	148
<29>	40	350
HART062A<5>	108	575
HART027B<14>	174	1101
<36>	58	83
Morus<20>	464	604
HART067A<9>	89	516
<28>	81	70
<38>	278	177
HART001B<18>	30	434
<34>	24	401
<30>	238	190
<31>	71	95
<39>	49	102
N9750B<11>	102	648
HART068B<12>	161	1045
HART060B<13>	135	992
<35>	170	193
<32>	136	1875
<33>	39	866
<37>	31	563
HART062B<15>	101	539
HART058B<16>	83	668
HART067B<19>	66	570
