#Taxon_ID	Increase	Decrease
<26>	22	277
<27>	120	180
HART001A<8>	51	246
HART027A<4>	121	985
<22>	22	30
<23>	633	138
N9750A<1>	82	663
HART068A<2>	548	744
HART063B<17>	553	65
<24>	16	1009
HART058A<6>	119	316
HART060A<3>	82	836
HART063A<7>	611	131
<25>	37	711
Batocarpus<10>	1693	262
<29>	40	356
HART062A<5>	101	585
HART027B<14>	152	1119
<36>	36	90
Morus<20>	398	717
HART067A<9>	87	529
<28>	78	72
<38>	295	151
HART001B<18>	27	459
<34>	21	408
<30>	229	194
<31>	59	97
<39>	19	103
N9750B<11>	97	653
HART068B<12>	154	1047
HART060B<13>	122	999
<35>	171	196
<32>	53	1922
<33>	38	878
<37>	32	575
HART062B<15>	98	540
HART058B<16>	85	670
HART067B<19>	65	625
