Orthogroup	d
OG0000000	binding; catalytic activity:protein dimerization activity; proteolysis; cysteine-type peptidase activity; zinc ion binding; carbon fixation; ribulose-bisphosphate carboxylase activity
OG0000001	binding:nucleic acid binding; zinc ion binding; DNA integration
OG0000002	binding; unknown:nucleic acid binding; zinc ion binding; DNA integration
OG0000003	binding; unknown:nucleic acid binding; zinc ion binding; DNA integration; signal transduction; RNA binding
OG0000004	binding; catalytic activity; unknown:protein kinase activity; ATP binding; protein phosphorylation; protein binding; membrane; receptor serine/threonine kinase binding
OG0000005	unknown:DNA integration
OG0000006	immune/defense; binding:ADP binding; defense response; defense response to other organism
OG0000007	binding; unknown:nucleic acid binding; zinc ion binding; DNA integration; mitochondrion; structural constituent of ribosome; ribosome; translation
OG0000008	binding; unknown:protein kinase activity; protein phosphorylation; ATP binding; recognition of pollen; protein serine/threonine kinase activity; plasma membrane; protein tyrosine kinase activity
OG0000010	unknown; binding:DNA integration; nucleotide binding; alanine-tRNA ligase activity; ATP binding; cytoplasm; alanyl-tRNA aminoacylation; nucleic acid binding
OG0000011	binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle
OG0000013	catalytic activity:proteolysis; cysteine-type peptidase activity
OG0000014	binding; unknown:recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; zinc ion binding; protein tyrosine kinase activity
OG0000015	binding:flavin adenine dinucleotide binding; oxidoreductase activity; FAD binding; nucleic acid binding; zinc ion binding
OG0000016	binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane
OG0000017	binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation; receptor serine/threonine kinase binding
OG0000018	catalytic activity:proteolysis; serine-type peptidase activity; serine-type endopeptidase activity
OG0000019	binding; catalytic activity:methyltransferase activity; protein dimerization activity; O-methyltransferase activity
OG0000020	binding:DNA binding; protein dimerization activity
OG0000021	binding:nucleic acid binding; zinc ion binding
OG0000022	catalytic activity; unknown:chitinase activity; extracellular region; DNA integration
OG0000023	binding:protein binding
OG0000024	binding:nucleic acid binding; zinc ion binding
OG0000025	binding:nucleic acid binding; zinc ion binding
OG0000026	binding; catalytic activity:protein kinase activity; protein phosphorylation; ATP binding; polysaccharide binding; protein tyrosine kinase activity; kinase activity; phosphorylation
OG0000027	unknown; binding:signal transduction; ADP binding; defense response; protein binding; cytoplasm
OG0000028	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000030	binding:ADP binding; protein binding
OG0000032	signaling:protein phosphatase inhibitor activity; nucleus; cytoplasm; abscisic acid-activated signaling pathway; abscisic acid binding; signaling receptor activity; defense response
OG0000033	unknown; catalytic activity:DNA integration; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0000034	unknown:DNA integration
OG0000035	binding; unknown:protein tyrosine kinase activity; protein phosphorylation; recognition of pollen; protein kinase activity; ATP binding
OG0000036	catalytic activity:membrane; transferase activity, transferring alkyl or aryl (other than methyl) groups
OG0000037	carbohydrate metabolism; catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cell wall; xyloglucan:xyloglucosyl transferase activity; glucan metabolic process; apoplast
OG0000038	binding; unknown:signal transduction; protein binding; ADP binding; defense response; cytoplasm
OG0000040	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000041	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; terpene biosynthetic process
OG0000042	transport:transmembrane transporter activity; membrane; transmembrane transport
OG0000043	catalytic activity:cysteine-type peptidase activity; proteolysis
OG0000044	catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity
OG0000045	unknown:plasma membrane; plant-type secondary cell wall biogenesis
OG0000046	immune/defense; binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; defense response to bacterium; protein tyrosine kinase activity
OG0000047	unknown; transport:DNA integration; ATP binding; membrane; transmembrane transport; ABC-type transporter activity; ATPase-coupled transmembrane transporter activity
OG0000048	unknown:response to auxin
OG0000050	binding; immune/defense:ADP binding; protein binding; defense response; defense response to other organism
OG0000053	binding; unknown:protein binding; signal transduction; ADP binding; defense response; cytoplasm
OG0000055	binding; unknown:ATP binding; ATP hydrolysis activity; ABC-type transporter activity; membrane
OG0000056	catalytic activity:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; steroid biosynthetic process
OG0000058	transport; unknown:transmembrane transporter activity; membrane; transmembrane transport
OG0000059	binding:DNA binding; protein dimerization activity; nucleus; regulation of transcription by RNA polymerase II; sequence-specific double-stranded DNA binding
OG0000060	signaling; binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; cell surface receptor signaling pathway; polysaccharide binding; membrane; calcium ion binding; protein tyrosine kinase activity
OG0000061	binding:protein kinase activity; polysaccharide binding; ATP binding; protein phosphorylation; kinase activity; phosphorylation
OG0000062	catalytic activity:acyltransferase activity; biosynthetic process; acyltransferase activity, transferring groups other than amino-acyl groups; polyketide biosynthetic process
OG0000063	binding; immune/defense:protein binding; ADP binding; defense response; defense response to other organism
OG0000064	carbohydrate metabolism; binding:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process; protein binding
OG0000065	catalytic activity:sulfotransferase activity
OG0000066	catalytic activity:fatty acid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups; acyltransferase activity
OG0000067	binding; catalytic activity:polysaccharide binding; protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity
OG0000068	catalytic activity:hydrolase activity, acting on ester bonds
