d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding:nucleic acid binding; zinc ion binding; DNA integration	OG0000001	88	33	33	38	22	37	37	13	25	30	45	39	37	39	28	15	18	14	14	15
binding; unknown:nucleic acid binding; zinc ion binding; DNA integration	OG0000002	0	37	28	36	31	28	34	35	35	40	25	39	29	32	30	36	29	0	37	30
binding; unknown:nucleic acid binding; zinc ion binding; DNA integration; signal transduction; RNA binding	OG0000003	53	32	27	19	32	28	27	22	18	31	29	27	35	26	33	26	21	25	20	19
binding; catalytic activity; unknown:protein kinase activity; ATP binding; protein phosphorylation; protein binding; membrane; receptor serine/threonine kinase binding	OG0000004	34	25	24	23	25	24	21	20	23	25	21	27	24	23	25	22	20	17	19	20
unknown:DNA integration	OG0000005	51	21	23	22	27	25	23	13	11	27	22	20	26	22	19	9	14	27	11	10
immune/defense; binding:ADP binding; defense response; defense response to other organism	OG0000006	40	21	17	18	16	20	15	21	11	20	14	22	19	22	15	16	12	17	19	16
binding; unknown:nucleic acid binding; zinc ion binding; DNA integration; mitochondrion; structural constituent of ribosome; ribosome; translation	OG0000007	14	13	24	11	20	27	17	18	11	22	19	18	20	17	21	12	11	9	15	13
binding; unknown:protein kinase activity; protein phosphorylation; ATP binding; recognition of pollen; protein serine/threonine kinase activity; plasma membrane; protein tyrosine kinase activity	OG0000008	30	14	22	16	18	12	19	13	15	13	18	14	26	14	21	13	15	18	12	14
NA	OG0000009	48	19	13	24	13	15	21	9	16	19	16	18	14	15	14	10	15	7	8	12
unknown; binding:DNA integration; nucleotide binding; alanine-tRNA ligase activity; ATP binding; cytoplasm; alanyl-tRNA aminoacylation; nucleic acid binding	OG0000010	36	25	16	11	16	19	15	6	11	21	14	23	19	21	17	9	12	13	6	9
binding:RNA binding; RNA modification; zinc ion binding; protein binding; intracellular membrane-bounded organelle	OG0000011	27	15	17	11	17	14	17	11	14	15	17	16	18	16	16	11	12	24	12	12
NA	OG0000012	21	15	12	12	17	17	11	13	15	8	20	12	16	10	16	18	9	16	16	13
catalytic activity:proteolysis; cysteine-type peptidase activity	OG0000013	1	23	19	22	13	17	21	7	10	21	13	23	20	22	18	6	11	0	8	6
