Gene	subset	category	mean_log2_Arto_vs_Bato
Morus_000002-R1	B-unique	Neither	-2.512292199201894
Morus_000005-R1	A-unique	Arto-only	-0.5405655249585037
Morus_000034-R2	A-unique	Neither	0.8122184440879933
Morus_000043-R1	B-unique	Bato-only	-5.275818038021422
Morus_000047-R1	B-unique	Bato-only	0.2114537063450788
Morus_000071-R1	Homeologs	Bato-only	0
Morus_000080-R1	Homeologs	Neither	0
Morus_000084-R1	A-unique	Bato-only	-0.8603141874617903
Morus_000121-R1	B-unique	Bato-only	-1.2076603245248376
Morus_000122-R2	Homeologs	Both	0.7804699870840286
Morus_000131-R1	Homeologs	Bato-only	-1.1421082153983977
Morus_000134-R1	Homeologs	Neither	0.7216891778385923
Morus_000146-R1	B-unique	Neither	-1.2476694895458469
Morus_000156-R1	B-unique	Bato-only	-1.9331086565415312
Morus_000157-R1	B-unique	Bato-only	0
Morus_000158-R1	Homeologs	Neither	1.9842835020572538
Morus_000165-R1	Homeologs	Bato-only	0.079810354295207
Morus_000169-R1	Homeologs	Bato-only	1.405402666102708
Morus_000171-R1	Homeologs	Bato-only	-2.447575730135993
Morus_000174-R1	Homeologs	Neither	2.4218930052096757
Morus_000190-R1	B-unique	Neither	0
Morus_000191-R1	Homeologs	Both	-1.075688707629574
Morus_000211-R1	Homeologs	Both	2.032961076142165
Morus_000213-R1	B-unique	Both	0
Morus_000215-R1	A-unique	Neither	-1.3389655613905906
Morus_000253-R1	Homeologs	Both	1.6629378424092458
Morus_000254-R1	B-unique	Arto-only	-4.036405322264357
Morus_000257-R1	A-unique	Bato-only	1.5122042077737896
Morus_000266-R1	Homeologs	Both	1.1335483882447834
Morus_000272-R1	A-unique	Neither	1.856899707573076
Morus_000293-R1	B-unique	Bato-only	0
Morus_000300-R1	Homeologs	Bato-only	0.6094622902626045
Morus_000306-R1	Homeologs	Both	0.5326645615056687
Morus_000318-R1	Homeologs	Bato-only	0.22459136755512943
Morus_000333-R1	A-unique	Neither	-2.1695729517330653
Morus_000362-R1	Homeologs	Both	-0.9512614544089262
Morus_000375-R1	B-unique	Bato-only	-0.3888977020971734
Morus_000379-R1	Homeologs	Bato-only	0
Morus_000385-R1	Homeologs	Bato-only	-0.021315642694464475
Morus_000389-R1	B-unique	Neither	0.35249164238224695
Morus_000397-R1	Homeologs	Bato-only	1.01024123827515
Morus_000400-R1	Homeologs	Arto-only	-0.6145249200462221
Morus_000401-R2	A-unique	Bato-only	-0.20336998425526653
Morus_000408-R1	A-unique	Neither	-2.0795717589610407
Morus_000411-R1	Homeologs	Bato-only	-0.5660259446486504
Morus_000416-R1	Homeologs	Arto-only	-3.260587840835633
Morus_000423-R1	B-unique	Bato-only	-2.094738445566691
Morus_000424-R1	A-unique	Bato-only	0
Morus_000429-R1	Homeologs	Both	1.5276928171902304
Morus_000451-R1	Homeologs	Bato-only	1.9280538088916486
Morus_000461-R1	A-unique	Neither	-1.3522045720254923
Morus_000481-R1	Homeologs	Arto-only	-0.7617508689818947
Morus_000484-R1	A-unique	Neither	0.20954805748623595
Morus_000487-R1	A-unique	Neither	3.0931850315243206
Morus_000491-R1	A-unique	Arto-only	3.880380967091112
Morus_000499-R1	Homeologs	Bato-only	0.7832074121297421
Morus_000527-R1	Homeologs	Bato-only	-0.8660065863104531
Morus_000530-R1	A-unique	Neither	-2.4370687279811083
Morus_000537-R1	Homeologs	Bato-only	0.0947518818267643
Morus_000543-R1	Homeologs	Both	0
Morus_000548-R2	Homeologs	Both	3.2999251907366407
Morus_000549-R1	Homeologs	Both	-0.1276193515700983
Morus_000551-R1	A-unique	Arto-only	-0.5554658948574235
Morus_000556-R2	A-unique	Arto-only	-0.4794638769946842
Morus_000560-R1	Homeologs	Bato-only	2.1907708627428573
Morus_000561-R1	Homeologs	Neither	-0.7651922128113811
Morus_000562-R1	A-unique	Arto-only	0.17117604656375898
Morus_000565-R1	Homeologs	Neither	-0.45270403782322305
Morus_000568-R1	Homeologs	Bato-only	-0.6166832919014318
Morus_000572-R1	B-unique	Neither	-3.3690910868029187
Morus_000574-R1	Homeologs	Neither	1.2785586713983448
Morus_000575-R1	Homeologs	Neither	-1.3339795814185016
Morus_000576-R1	Homeologs	Neither	-1.0940231863498862
Morus_000577-R1	A-unique	Neither	0.6084868584005171
Morus_000589-R1	Homeologs	Both	-0.1228427850232029
Morus_000590-R1	Homeologs	Neither	-0.7955863373868562
Morus_000593-R1	Homeologs	Bato-only	-0.07543858238174506
Morus_000594-R1	B-unique	Both	2.10519802325465
Morus_000601-R1	Homeologs	Neither	-2.804884067014221
Morus_000603-R1	Homeologs	Arto-only	0.5464391531938688
Morus_000617-R1	Homeologs	Both	1.5653272632480375
Morus_000636-R1	Homeologs	Bato-only	-2.3065773173082653
Morus_000639-R1	A-unique	Bato-only	1.8451809769044738
Morus_000640-R1	Homeologs	Both	-0.6987646944832915
Morus_000658-R1	A-unique	Neither	-0.08871542188099202
Morus_000659-R1	Homeologs	Neither	1.084856054033435
Morus_000674-R1	Homeologs	Both	0
Morus_000688-R1	Homeologs	Neither	-1.570590982580374
Morus_000690-R1	A-unique	Both	-0.7568663720610931
Morus_000691-R1	Homeologs	Bato-only	3.9070415734670174
Morus_000701-R1	Homeologs	Neither	0.003009825772743051
Morus_000717-R1	Homeologs	Both	-0.32003950838934925
Morus_000719-R1	Homeologs	Bato-only	0.23034844582265102
Morus_000720-R1	Homeologs	Bato-only	0.6878898893952095
Morus_000728-R1	Homeologs	Both	-0.3110043236797339
Morus_000737-R1	Homeologs	Neither	0.28204538417203673
Morus_000752-R1	Homeologs	Neither	2.4532972150540617
Morus_000759-R1	Homeologs	Both	-1.4921031020879245
Morus_000763-R1	Homeologs	Both	0.5439187484451853
Morus_000764-R1	Homeologs	Both	0.6800823742089303
Morus_000766-R1	A-unique	Neither	-1.836783564374914
Morus_000768-R1	A-unique	Neither	-1.670700465562775
Morus_000779-R1	Homeologs	Bato-only	3.3669764550027628
Morus_000799-R1	Homeologs	Arto-only	0
Morus_000802-R1	B-unique	Both	0.5163878476494761
Morus_000811-R1	Homeologs	Arto-only	0.7668372369058352
Morus_000816-R1	A-unique	Neither	0
Morus_000818-R1	Homeologs	Neither	1.9256729180944028
Morus_000852-R1	Homeologs	Bato-only	-0.9771430740558699
Morus_000865-R1	B-unique	Bato-only	0
Morus_000869-R1	A-unique	Bato-only	7.3087670691408775
Morus_000879-R1	Homeologs	Arto-only	2.0804821205834854
Morus_000884-R1	Homeologs	Neither	0.30937734803285605
Morus_000885-R1	A-unique	Neither	0.0387326786938286
Morus_000886-R1	A-unique	Neither	0.3520258918992216
Morus_000910-R1	Homeologs	Bato-only	0.7629576208311936
Morus_000920-R1	Homeologs	Neither	0
Morus_000930-R1	Homeologs	Both	1.8340909299268535
Morus_000931-R1	Homeologs	Both	-0.25852615934888884
Morus_000944-R1	A-unique	Neither	0.04460319698779071
Morus_000952-R1	Homeologs	Arto-only	-0.8389614981315722
Morus_000957-R1	B-unique	Neither	1.2556033372485458
Morus_000959-R1	A-unique	Neither	-4.42531404653167
Morus_001006-R1	Homeologs	Both	-1.772164379342837
Morus_001028-R1	Homeologs	Both	-0.24336280278173558
Morus_001049-R1	Homeologs	Neither	0.9761051270293153
Morus_001085-R1	B-unique	Bato-only	0
Morus_001088-R1	Homeologs	Both	-0.7327337085726531
Morus_001124-R1	B-unique	Both	-0.5617430483083212
Morus_001139-R1	B-unique	Neither	0
Morus_001165-R1	Homeologs	Bato-only	6.498657566324536
Morus_001211-R1	A-unique	Neither	0
Morus_001226-R1	A-unique	Neither	3.2401050533047497
Morus_001245-R1	Homeologs	Bato-only	0.5110361833864032
Morus_001256-R1	Homeologs	Neither	-2.175973207608382
Morus_001267-R1	B-unique	Bato-only	0
Morus_001283-R1	B-unique	Bato-only	0
Morus_001289-R1	A-unique	Bato-only	-0.595084973512411
Morus_001291-R1	Homeologs	Bato-only	-0.33451429010961636
Morus_001354-R1	A-unique	Neither	3.120799127203808
Morus_001358-R1	B-unique	Bato-only	-1.8986766074319572
Morus_001381-R1	Homeologs	Neither	0
Morus_001390-R1	A-unique	Neither	2.8566331740156237
Morus_001391-R1	Homeologs	Bato-only	3.629886874760525
Morus_001394-R1	A-unique	Neither	2.472855871234912
Morus_001400-R1	B-unique	Neither	0
Morus_001405-R1	A-unique	Neither	0.4898194552497678
Morus_001421-R1	B-unique	Bato-only	-1.9738780186534615
Morus_001424-R1	Homeologs	Bato-only	-0.23263319345701777
Morus_001425-R1	Homeologs	Neither	0.8442691584239799
Morus_001429-R1	Homeologs	Neither	1.0709675892656347
Morus_001431-R1	Homeologs	Neither	-1.1771861610490866
Morus_001436-R3	Homeologs	Bato-only	1.0267541914235552
Morus_001438-R1	Homeologs	Bato-only	0
Morus_001446-R1	Homeologs	Arto-only	-2.068080328528447
Morus_001472-R1	Homeologs	Both	2.308046649083224
Morus_001474-R1	Homeologs	Both	-1.555380815754151
Morus_001485-R1	B-unique	Bato-only	0
Morus_001503-R1	Homeologs	Bato-only	0
Morus_001504-R2	A-unique	Bato-only	0
