Morus	tissue	TPM_bato
Morus_000001-R1	ML	0
Morus_000001-R1	YL	0
Morus_000002-R1	ML	44.52062
Morus_000002-R1	YL	21.292522
Morus_000003-R1	ML	0
Morus_000003-R1	YL	0
Morus_000005-R1	ML	198.261552
Morus_000005-R1	YL	116.279899
Morus_000006-R1	ML	0
Morus_000006-R1	YL	1.240437
Morus_000007-R1	ML	11.256036
Morus_000007-R1	YL	17.700639
Morus_000008-R1	ML	114.36133
Morus_000008-R1	YL	173.047387
Morus_000009-R1	ML	0
Morus_000009-R1	YL	0
Morus_000010-R1	ML	0
Morus_000010-R1	YL	0
Morus_000011-R1	ML	0
Morus_000011-R1	YL	10.875136
Morus_000012-R1	ML	0
Morus_000012-R1	YL	0
Morus_000013-R1	ML	0
Morus_000013-R1	YL	0
Morus_000014-R1	ML	23.313095
Morus_000014-R1	YL	54.53691
Morus_000015-R1	ML	0
Morus_000015-R1	YL	0
Morus_000016-R1	ML	0
Morus_000016-R1	YL	0
Morus_000018-R1	ML	5.822878
Morus_000018-R1	YL	6.659452
Morus_000019-R1	ML	0
Morus_000019-R1	YL	0
Morus_000020-R2	ML	10.266706
Morus_000020-R2	YL	0
Morus_000026-R2	ML	1.926572
Morus_000026-R2	YL	0
Morus_000027-R1	ML	0
Morus_000027-R1	YL	33.39045
Morus_000028-R1	ML	0
Morus_000028-R1	YL	0
Morus_000029-R1	ML	0
Morus_000029-R1	YL	0
Morus_000030-R1	ML	23.913847
Morus_000030-R1	YL	0
Morus_000031-R2	ML	0
Morus_000031-R2	YL	1.590365
Morus_000032-R1	ML	0
Morus_000032-R1	YL	0
Morus_000033-R1	ML	1.003874
Morus_000033-R1	YL	64.293638
Morus_000034-R2	ML	2.265478
Morus_000034-R2	YL	1.29548
Morus_000036-R1	ML	1.471453
Morus_000036-R1	YL	52.168561
Morus_000038-R1	ML	1.691736
Morus_000038-R1	YL	3.869575
Morus_000042-R1	ML	3.498002
Morus_000042-R1	YL	2.66704
Morus_000043-R1	ML	29.718419
Morus_000043-R1	YL	47.860747
Morus_000045-R1	ML	0
Morus_000045-R1	YL	4.880285
Morus_000046-R1	ML	0
Morus_000046-R1	YL	8.612267
Morus_000047-R1	ML	3.895141
Morus_000047-R1	YL	0
Morus_000048-R1	ML	4.456794
Morus_000048-R1	YL	6.371377
Morus_000049-R1	ML	0
Morus_000049-R1	YL	0
Morus_000050-R1	ML	10.243352
Morus_000050-R1	YL	5.206673
Morus_000052-R1	ML	0
Morus_000052-R1	YL	0
Morus_000053-R1	ML	3.141795
Morus_000053-R1	YL	0
Morus_000060-R1	ML	0
Morus_000060-R1	YL	3.03039
Morus_000061-R1	ML	0
Morus_000061-R1	YL	0
Morus_000062-R1	ML	0
Morus_000062-R1	YL	0
Morus_000063-R1	ML	0
Morus_000063-R1	YL	0
Morus_000066-R1	ML	0
Morus_000066-R1	YL	0
Morus_000067-R3	ML	15.469437
Morus_000067-R3	YL	63.53012
Morus_000068-R1	ML	0
Morus_000068-R1	YL	0
Morus_000069-R1	ML	0
Morus_000069-R1	YL	2.322295
Morus_000070-R1	ML	0
Morus_000070-R1	YL	0
Morus_000071-R1	ML	0
Morus_000071-R1	YL	0
Morus_000072-R1	ML	0
Morus_000072-R1	YL	2.983386
Morus_000077-R1	ML	40.397041
Morus_000077-R1	YL	23.408449
Morus_000078-R3	ML	0
Morus_000078-R3	YL	0
Morus_000079-R1	ML	0
Morus_000079-R1	YL	0
Morus_000080-R1	ML	0
Morus_000080-R1	YL	0
Morus_000082-R1	ML	0
Morus_000082-R1	YL	0
Morus_000084-R1	ML	4.987846
Morus_000084-R1	YL	7.98623
Morus_000085-R1	ML	76.207681
Morus_000085-R1	YL	113.929991
Morus_000087-R1	ML	105.652965
Morus_000087-R1	YL	14.646319
Morus_000088-R1	ML	2.068765
Morus_000088-R1	YL	10.646931
Morus_000090-R1	ML	0
Morus_000090-R1	YL	0
Morus_000094-R1	ML	0.987235
Morus_000094-R1	YL	0
Morus_000096-R1	ML	5.680199
Morus_000096-R1	YL	430.919446
Morus_000097-R1	ML	1.310281
Morus_000097-R1	YL	2.997058
Morus_000100-R1	ML	0
Morus_000100-R1	YL	0
Morus_000101-R1	ML	0
Morus_000101-R1	YL	2.646889
Morus_000104-R1	ML	48.216051
Morus_000104-R1	YL	62.291454
Morus_000107-R1	ML	0
Morus_000107-R1	YL	0
Morus_000108-R1	ML	120.452117
Morus_000108-R1	YL	25.991977
Morus_000110-R1	ML	3.500286
Morus_000110-R1	YL	8.006344
Morus_000112-R1	ML	3.019043
Morus_000112-R1	YL	8.631971
Morus_000114-R1	ML	0
Morus_000114-R1	YL	3.734343
Morus_000115-R1	ML	1.166001
Morus_000115-R1	YL	1.33352
Morus_000116-R1	ML	1.795875
Morus_000116-R1	YL	12.323332
Morus_000117-R1	ML	80.156918
Morus_000117-R1	YL	42.474008
Morus_000120-R1	ML	34.191172
Morus_000120-R1	YL	25.60343
Morus_000121-R1	ML	85.234337
Morus_000121-R1	YL	88.454037
Morus_000122-R2	ML	1244.513677
Morus_000122-R2	YL	692.510267
Morus_000124-R1	ML	9.019032
Morus_000124-R1	YL	41.259189
Morus_000128-R1	ML	581.098844
Morus_000128-R1	YL	425.088199
Morus_000131-R1	ML	423.348021
Morus_000131-R1	YL	20.993841
Morus_000132-R1	ML	1.235537
Morus_000132-R1	YL	0
Morus_000133-R1	ML	2.016243
Morus_000133-R1	YL	2.305917
Morus_000134-R1	ML	1.641864
Morus_000134-R1	YL	50.073365
Morus_000135-R1	ML	269.612897
Morus_000135-R1	YL	100.375643
Morus_000136-R2	ML	70.76815
Morus_000136-R2	YL	167.940985
Morus_000137-R1	ML	52.983538
Morus_000137-R1	YL	237.630142
Morus_000138-R1	ML	553.275053
Morus_000138-R1	YL	104.951214
Morus_000139-R1	ML	31.344883
Morus_000139-R1	YL	6.517855
Morus_000140-R1	ML	194.87581
Morus_000140-R1	YL	281.524586
Morus_000142-R1	ML	124.515163
Morus_000142-R1	YL	258.845321
Morus_000144-R1	ML	1.809515
Morus_000144-R1	YL	0
Morus_000146-R1	ML	135.774173
Morus_000146-R1	YL	50.620191
Morus_000148-R3	ML	16.061985
Morus_000148-R3	YL	32.500081
Morus_000149-R1	ML	16.478578
Morus_000149-R1	YL	35.336355
Morus_000150-R1	ML	0
Morus_000150-R1	YL	0
Morus_000151-R1	ML	0
Morus_000151-R1	YL	0
Morus_000152-R1	ML	11.712549
Morus_000152-R1	YL	70.325282
Morus_000153-R1	ML	13.39387
