Morus	tissue	A	B	total_AB	log2_BA
Morus_000001-R1	FF	11.22261	0	11.22261	-3.611480484135264
Morus_000001-R1	FR	16.296573	0	16.296573	-4.112414317392951
Morus_000001-R1	MF	0.917122	0	0.917122	-0.9389421487924637
Morus_000001-R1	ML	1.674723	0	1.674723	-1.4193894906843647
Morus_000001-R1	SD	9.058395	0	9.058395	-3.330328210142838
Morus_000001-R1	YL	6.981414	0	6.981414	-2.9966443592389633
Morus_000002-R1	FF	0	1.49717	1.49717	1.3202940390508804
Morus_000002-R1	FR	0	4.076382	4.076382	2.3438006367064976
Morus_000002-R1	MF	0	9.788013	9.788013	3.4313572600815094
Morus_000002-R1	ML	0	13.405149	13.405149	3.848512678012661
Morus_000002-R1	SD	0	13.595058	13.595058	3.867408038933854
Morus_000002-R1	YL	0	1.164208	1.164208	1.1138391618947707
Morus_000003-R1	FF	0	0	0	0
Morus_000003-R1	FR	0	0	0	0
Morus_000003-R1	MF	0	0	0	0
Morus_000003-R1	ML	0	0	0	0
Morus_000003-R1	SD	0	0	0	0
Morus_000003-R1	YL	0	0	0	0
Morus_000005-R1	FF	232.56186	0	232.56186	-7.867660895151561
Morus_000005-R1	FR	156.541565	0	156.541565	-7.299588702248613
Morus_000005-R1	MF	111.655397	0	111.655397	-6.815772620424184
Morus_000005-R1	ML	40.488762	0	40.488762	-5.374648703576613
Morus_000005-R1	SD	199.445756	0	199.445756	-7.647068061678118
Morus_000005-R1	YL	265.234137	0	265.234137	-8.056551757730247
Morus_000006-R1	FF	7.235944	0	7.235944	-3.0419340204513525
Morus_000006-R1	FR	5.628995	0	5.628995	-2.7287901646940536
Morus_000006-R1	MF	3.801395	0	3.801395	-2.2634536281647573
Morus_000006-R1	ML	8.484164	0	8.484164	-3.2455206100933323
Morus_000006-R1	SD	1.042953	0	1.042953	-1.0306560139356078
Morus_000006-R1	YL	4.01908	0	4.01908	-2.3274229416510086
Morus_000007-R1	FF	0	0	0	0
Morus_000007-R1	FR	0	0	0	0
Morus_000007-R1	MF	0	1.095853	1.095853	1.0675375319477918
Morus_000007-R1	ML	0	4.002193	4.002193	2.3225607222072644
Morus_000007-R1	SD	0	5.411856	5.411856	2.68074202524001
Morus_000007-R1	YL	0	0	0	0
Morus_000008-R1	FF	0	16.464349	16.464349	4.1263409608107455
Morus_000008-R1	FR	0	17.931154	17.931154	4.24269045201101
Morus_000008-R1	MF	0	18.83675	18.83675	4.310103772680761
Morus_000008-R1	ML	0	7.370807	7.370807	3.0653667146245245
Morus_000008-R1	SD	0	29.900913	29.900913	4.949577559590261
Morus_000008-R1	YL	0	5.12111	5.12111	2.613793294468371
Morus_000009-R1	FF	0	0	0	0
Morus_000009-R1	FR	0	0	0	0
Morus_000009-R1	MF	0	0	0	0
Morus_000009-R1	ML	0	0	0	0
Morus_000009-R1	SD	0	0	0	0
Morus_000009-R1	YL	0	0	0	0
Morus_000010-R1	FF	0	0	0	0
Morus_000010-R1	FR	0	0	0	0
Morus_000010-R1	MF	0	0	0	0
Morus_000010-R1	ML	0	0	0	0
Morus_000010-R1	SD	4.060891	0	4.060891	-2.339391402334604
Morus_000010-R1	YL	0	0	0	0
Morus_000011-R1	FF	0	3.020898	3.020898	2.007517739082658
Morus_000011-R1	FR	0	8.225072	8.225072	3.205560171187948
Morus_000011-R1	MF	0	1.234353	1.234353	1.159857131711131
Morus_000011-R1	ML	0	0	0	0
Morus_000011-R1	SD	0	3.047919	3.047919	2.0171804215866973
Morus_000011-R1	YL	0	4.698135	4.698135	2.5104898023432898
Morus_000012-R1	FF	0	0	0	0
Morus_000012-R1	FR	0	0	0	0
Morus_000012-R1	MF	0	0	0	0
Morus_000012-R1	ML	0	0	0	0
Morus_000012-R1	SD	0	0	0	0
Morus_000012-R1	YL	0	0	0	0
Morus_000013-R1	FF	0	0	0	0
Morus_000013-R1	FR	0	0	0	0
Morus_000013-R1	MF	0	0	0	0
Morus_000013-R1	ML	0	0	0	0
Morus_000013-R1	SD	0	0	0	0
Morus_000013-R1	YL	0	0	0	0
Morus_000014-R1	FF	0	115.391113	115.391113	6.862837095784701
Morus_000014-R1	FR	0	11.023796	11.023796	3.587820532184666
Morus_000014-R1	MF	0	103.397701	103.397701	6.7059461316401965
Morus_000014-R1	ML	0	52.867013	52.867013	5.751330162856944
Morus_000014-R1	SD	0	28.595186000000002	28.595186000000002	4.887290618756808
Morus_000014-R1	YL	0	77.135286	77.135286	6.28790231342954
Morus_000015-R1	FF	0	0	0	0
Morus_000015-R1	FR	0	0	0	0
Morus_000015-R1	MF	0	0	0	0
Morus_000015-R1	ML	0	0	0	0
Morus_000015-R1	SD	0	0	0	0
Morus_000015-R1	YL	0	0	0	0
Morus_000016-R1	FF	0	0	0	0
Morus_000016-R1	FR	0	0	0	0
Morus_000016-R1	MF	1.674265	0	1.674265	-1.419142432986594
Morus_000016-R1	ML	3.057315	0	3.057315	-2.020525314202128
Morus_000016-R1	SD	0	0	0	0
Morus_000016-R1	YL	3.186254	0	3.186254	-2.065659849439583
Morus_000018-R1	FF	0	0	0	0
Morus_000018-R1	FR	0	0	0	0
Morus_000018-R1	MF	0	0	0	0
Morus_000018-R1	ML	0	0	0	0
Morus_000018-R1	SD	0	0	0	0
Morus_000018-R1	YL	0	0	0	0
Morus_000019-R1	FF	0	0	0	0
Morus_000019-R1	FR	0	0	0	0
Morus_000019-R1	MF	0	0	0	0
Morus_000019-R1	ML	0	0	0	0
Morus_000019-R1	SD	0	0	0	0
Morus_000019-R1	YL	0	0	0	0
Morus_000020-R2	FF	3.746786	0	3.746786	-2.246951010016333
Morus_000020-R2	FR	2.550366	0	2.550366	-1.8279677567771642
Morus_000020-R2	MF	1.148216	0	1.148216	-1.1031390615084886
Morus_000020-R2	ML	4.193429	0	4.193429	-2.3766874032822924
Morus_000020-R2	SD	4.725374	0	4.725374	-2.517369937807266
Morus_000020-R2	YL	6.555425	0	6.555425	-2.9175129106709834
Morus_000026-R2	FF	9.034648	0	9.034648	-3.3269181049549865
Morus_000026-R2	FR	8.199619	0	8.199619	-3.201574113540022
Morus_000026-R2	MF	25.102877	0	25.102877	-4.7061369210268715
Morus_000026-R2	ML	18.875066	0	18.875066	-4.312887746112763
Morus_000026-R2	SD	14.584737	0	14.584737	-3.9620619038771268
Morus_000026-R2	YL	8.430474	0	8.430474	-3.2373302863047595
Morus_000027-R1	FF	0	2.05649	2.05649	1.6118758470065675
Morus_000027-R1	FR	0	3.732838	3.732838	2.2427055410079237
Morus_000027-R1	MF	0	241.163706	241.163706	7.919838848789614
Morus_000027-R1	ML	0	535.514623	535.514623	9.067473682736171
Morus_000027-R1	SD	0	0	0	0
Morus_000027-R1	YL	0	11.193972	11.193972	3.608096233257993
Morus_000028-R1	FF	0	0	0	0
Morus_000028-R1	FR	0	0	0	0
Morus_000028-R1	MF	0	0	0	0
Morus_000028-R1	ML	0	0	0	0
Morus_000028-R1	SD	0	0	0	0
Morus_000028-R1	YL	0	0	0	0
Morus_000029-R1	FF	0	0	0	0
Morus_000029-R1	FR	0	0	0	0
Morus_000029-R1	MF	0	0	0	0
Morus_000029-R1	ML	0	0	0	0
Morus_000029-R1	SD	0	0	0	0
Morus_000029-R1	YL	0	0	0	0
Morus_000030-R1	FF	0	0	0	0
Morus_000030-R1	FR	0	0	0	0
Morus_000030-R1	MF	1.037639	1.05235	2.089989	0.010378305795616242
Morus_000030-R1	ML	0	0	0	0
Morus_000030-R1	SD	0	0	0	0
Morus_000030-R1	YL	1.974706	0	1.974706	-1.572747089159567
Morus_000031-R2	FF	0	0	0	0
Morus_000031-R2	FR	0	0	0	0
Morus_000031-R2	MF	0	0	0	0
Morus_000031-R2	ML	0	0	0	0
Morus_000031-R2	SD	2.813944	0	2.813944	-1.9312836607677608
Morus_000031-R2	YL	0	0	0	0
Morus_000032-R1	FF	0	0	0	0
Morus_000032-R1	FR	0	0	0	0
Morus_000032-R1	MF	0	0	0	0
Morus_000032-R1	ML	0	0	0	0
