## 1.1.1
## assembly	: /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/primary_asm/HART062.fa
## coverage	 bam0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART062/06_realign_hic_hifi/asm.hifi.bam
## taxonomy	 tax0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART062/07_busco_yak_blob/blast.out
## nodesDB	: /90daydata/coffea_pangenome/puzzler_trials/blob_downloads/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
Chr01	22630447	0.3414	184	23.5042	Streptophyta	109187.0	0
Chr02	25813998	0.3426	46	23.6114	Streptophyta	111734.0	0
Chr03	22924710	0.3416	276	23.5123	Streptophyta	88032.0	0
Chr04	28171162	0.3418	123	23.8044	Streptophyta	110187.0	0
Chr05	25847136	0.34	92	22.7819	Streptophyta	111980.0	0
Chr06	31183052	0.3413	92	22.9878	Streptophyta	113570.0	0
Chr07	31257754	0.3431	414	23.7014	Streptophyta	112496.0	0
Chr08	38136721	0.3459	0	24.5929	Streptophyta	113518.0	0
Chr09	28812752	0.3448	322	23.1743	Streptophyta	108903.0	0
Chr10	37634967	0.347	23	24.0227	Streptophyta	111393.0	0
Chr11	38712918	0.3447	0	24.0986	Streptophyta	113658.0	0
Chr12	29143000	0.3445	368	23.5729	Streptophyta	115151.0	0
Chr13	31413143	0.3444	169	23.3977	Streptophyta	113424.0	0
Chr14	23154638	0.3429	138	23.4061	Streptophyta	114156.0	0
Chr15	27237793	0.3415	184	23.0671	Streptophyta	110176.0	0
Chr16	30053933	0.3498	100	22.3303	Streptophyta	113143.0	0
Chr17	33073734	0.3479	69	21.5258	Streptophyta	114149.0	0
Chr18	28346651	0.3432	146	23.115	Streptophyta	114293.0	0
Chr19	33251840	0.3466	46	23.0243	Streptophyta	111131.0	0
Chr20	25907216	0.3443	161	23.2212	Streptophyta	110674.0	0
Chr21	31546609	0.3502	292	23.5932	Streptophyta	112969.0	0
Chr22	28144010	0.3444	138	24.3046	Streptophyta	113369.0	0
Chr23	29702751	0.342	92	25.4256	Streptophyta	112378.0	0
Chr24	28605338	0.3428	353	23.4493	Streptophyta	112780.0	0
Chr25	32461410	0.3457	192	22.8853	Streptophyta	110407.0	0
Chr26	35343006	0.3463	0	22.5571	Streptophyta	113066.0	0
Chr27	32057892	0.3478	161	23.2418	Streptophyta	109818.0	0
Chr28	37432816	0.3484	0	23.0402	Streptophyta	113232.0	0
scaffold_100	12774	0.3953	0	29.6909	Streptophyta	20047.0	0
scaffold_101	12385	0.5707	0	11.8666	Streptophyta	96774.0	0
scaffold_102	11664	0.3422	0	1080.7661	Streptophyta	203054.0	0
scaffold_103	9353	0.4372	0	189.5752	Streptophyta	80887.0	0
scaffold_104	9126	0.4332	0	228.5773	Streptophyta	77555.0	0
scaffold_105	8971	0.5656	0	10.0409	Streptophyta	62968.0	0
scaffold_106	8837	0.3812	0	10.7297	Streptophyta	3659.0	0
scaffold_107	8097	0.3784	0	567.9479	Streptophyta	143390.0	0
scaffold_108	7817	0.3157	0	1078.3321	Streptophyta	115595.0	0
scaffold_109	7545	0.3723	0	106.8195	Streptophyta	39376.0	0
scaffold_110	6164	0.4676	0	115.3691	Streptophyta	67168.0	0
scaffold_111	5443	0.2995	0	141.1034	Streptophyta	83644.0	0
scaffold_112	5220	0.4117	0	86.2808	Streptophyta	32755.0	0
scaffold_113	5081	0.4603	0	94.2395	Streptophyta	57924.0	0
scaffold_114	4973	0.3704	0	5.72	Streptophyta	9046.0	0
scaffold_115	3697	0.4428	0	20.5178	Streptophyta	35169.0	0
scaffold_116	3422	0.4898	0	72.0417	Streptophyta	59945.0	0
scaffold_117	3166	0.4368	0	14.9744	Streptophyta	33704.0	0
scaffold_118	1250000	0.3439	0	25.506	Streptophyta	46682.0	0
scaffold_29	264608	0.4526	0	329.5597	Streptophyta	346077.0	0
scaffold_30	197530	0.4486	0	636.4323	Streptophyta	298861.0	0
scaffold_31	172782	0.4511	0	772.6443	Streptophyta	449296.0	0
scaffold_32	155175	0.5572	0	28.0162	Streptophyta	96752.0	0
scaffold_33	117594	0.4553	0	357.8837	Streptophyta	346775.0	0
scaffold_34	86890	0.4454	23	683.2984	Streptophyta	191581.0	0
scaffold_35	55665	0.3374	0	3274.0451	Streptophyta	714913.0	0
scaffold_36	52102	0.5645	0	250.5029	Streptophyta	96817.0	0
scaffold_37	50463	0.5313	0	147.2166	Streptophyta	96752.0	0
scaffold_38	48378	0.3858	0	1820.4911	Streptophyta	818328.0	0
scaffold_39	47519	0.3941	0	1421.3026	Streptophyta	302249.0	0
scaffold_40	45711	0.3713	0	2121.4835	Streptophyta	388144.0	0
scaffold_41	42029	0.3386	0	1757.2095	Streptophyta	557782.0	0
scaffold_42	41467	0.3937	0	828.2028	Streptophyta	679640.0	0
scaffold_43	39266	0.5583	0	16.7826	Streptophyta	96719.0	0
scaffold_44	38527	0.56	0	68.6641	Streptophyta	96918.0	0
scaffold_45	34834	0.3899	0	729.0867	Streptophyta	386449.0	0
scaffold_46	34117	0.5615	0	116.8654	Streptophyta	96817.0	0
scaffold_47	33845	0.5688	0	40.3421	Streptophyta	96863.0	0
scaffold_48	33544	0.5674	0	39.7148	Streptophyta	96696.0	0
scaffold_49	33431	0.5634	0	73.742	Streptophyta	96823.0	0
scaffold_50	33035	0.5689	0	45.4931	Streptophyta	96750.0	0
scaffold_51	32261	0.5678	0	81.7067	Streptophyta	96918.0	0
scaffold_52	32234	0.5633	0	159.138	Streptophyta	96752.0	0
scaffold_53	32039	0.3949	0	890.7964	Streptophyta	385924.0	0
