Gene	category
Morus_000003-R1	B_biased_purifying
Morus_000045-R1	B_biased_purifying
Morus_000060-R1	B_biased_purifying
Morus_000067-R3	B_biased_purifying
Morus_000096-R1	B_biased_purifying
Morus_000097-R1	A_biased_purifying
Morus_000115-R1	B_biased_purifying
Morus_000128-R1	B_biased_purifying
Morus_000132-R1	B_biased_purifying
Morus_000134-R1	B_biased_purifying
Morus_000136-R2	B_biased_purifying
Morus_000173-R1	B_biased_purifying
Morus_000193-R1	A_biased_purifying
Morus_000199-R1	B_biased_purifying
Morus_000214-R1	B_biased_purifying
Morus_000218-R1	B_biased_purifying
Morus_000240-R1	B_biased_purifying
Morus_000247-R1	B_biased_purifying
Morus_000261-R1	B_biased_purifying
Morus_000304-R1	B_biased_purifying
Morus_000306-R1	B_biased_purifying
Morus_000312-R1	B_biased_purifying
Morus_000314-R2	B_biased_purifying
Morus_000328-R1	B_biased_purifying
Morus_000335-R2	B_biased_purifying
Morus_000347-R1	B_biased_purifying
Morus_000355-R1	B_biased_purifying
Morus_000358-R1	B_biased_purifying
Morus_000379-R1	B_biased_purifying
Morus_000383-R1	B_biased_purifying
Morus_000400-R1	B_biased_purifying
Morus_000402-R1	B_biased_purifying
Morus_000404-R1	B_biased_purifying
Morus_000409-R1	B_biased_purifying
Morus_000415-R1	B_biased_purifying
Morus_000422-R1	A_biased_purifying
Morus_000426-R1	B_biased_purifying
Morus_000427-R1	B_biased_purifying
Morus_000451-R1	B_biased_purifying
Morus_000454-R1	B_biased_purifying
Morus_000456-R3	B_biased_purifying
Morus_000462-R1	A_biased_purifying
Morus_000481-R1	B_biased_purifying
Morus_000495-R1	B_biased_purifying
Morus_000513-R1	B_biased_purifying
Morus_000523-R1	B_biased_purifying
Morus_000526-R1	B_biased_purifying
Morus_000534-R1	B_biased_purifying
Morus_000537-R1	B_biased_purifying
Morus_000560-R1	B_biased_purifying
Morus_000563-R1	B_biased_purifying
Morus_000565-R1	B_biased_purifying
Morus_000570-R1	B_biased_purifying
Morus_000584-R1	B_biased_purifying
Morus_000592-R1	B_biased_purifying
Morus_000593-R1	B_biased_purifying
Morus_000625-R1	B_biased_purifying
Morus_000629-R1	B_biased_purifying
Morus_000630-R1	B_biased_purifying
Morus_000655-R1	B_biased_purifying
Morus_000669-R1	B_biased_purifying
Morus_000685-R1	B_biased_purifying
Morus_000689-R1	B_biased_purifying
Morus_000698-R1	B_biased_purifying
Morus_000721-R1	B_biased_purifying
Morus_000736-R1	B_biased_purifying
Morus_000737-R1	B_biased_purifying
Morus_000746-R1	B_biased_purifying
Morus_000755-R1	B_biased_purifying
Morus_000767-R1	A_biased_purifying
Morus_000769-R2	B_biased_purifying
Morus_000778-R1	B_biased_purifying
Morus_000783-R1	B_biased_purifying
Morus_000784-R1	B_biased_purifying
Morus_000785-R1	B_biased_purifying
Morus_000788-R1	B_biased_purifying
Morus_000816-R1	B_biased_purifying
Morus_000817-R1	B_biased_purifying
Morus_000843-R1	B_biased_purifying
Morus_000852-R1	B_biased_purifying
Morus_000874-R1	B_biased_purifying
Morus_000880-R1	A_biased_purifying
Morus_000894-R1	B_biased_purifying
Morus_000902-R1	B_biased_purifying
Morus_000916-R1	B_biased_purifying
Morus_000939-R1	A_biased_purifying
Morus_000943-R1	B_biased_purifying
Morus_000946-R1	B_biased_purifying
Morus_001059-R1	B_biased_purifying
Morus_001063-R1	B_biased_purifying
Morus_001107-R1	B_biased_purifying
Morus_001111-R1	A_biased_purifying
Morus_001157-R1	B_biased_purifying
Morus_001194-R1	B_biased_purifying
Morus_001266-R1	B_biased_purifying
Morus_001325-R1	B_biased_purifying
Morus_001364-R1	B_biased_purifying
Morus_001365-R1	A_biased_purifying
Morus_001395-R1	B_biased_purifying
Morus_001414-R1	B_biased_purifying
Morus_001419-R1	B_biased_purifying
Morus_001422-R1	A_biased_purifying
Morus_001428-R1	B_biased_purifying
Morus_001431-R1	B_biased_purifying
Morus_001450-R1	B_biased_purifying
Morus_001457-R1	B_biased_purifying
Morus_001472-R1	B_biased_purifying
Morus_001487-R1	B_biased_purifying
Morus_001498-R1	B_biased_purifying
Morus_001516-R1	B_biased_purifying
Morus_001519-R1	B_biased_purifying
Morus_001538-R1	A_biased_purifying
Morus_001541-R1	B_biased_purifying
Morus_001542-R1	A_biased_purifying
Morus_001569-R1	B_biased_purifying
Morus_001572-R1	A_biased_purifying
Morus_001574-R1	B_biased_purifying
Morus_001586-R1	B_biased_purifying
Morus_001588-R1	A_biased_purifying
Morus_001593-R1	B_biased_purifying
Morus_001596-R1	B_biased_purifying
Morus_001598-R1	A_biased_purifying
Morus_001599-R1	B_biased_purifying
Morus_001660-R1	B_biased_purifying
Morus_001662-R1	B_biased_purifying
Morus_001669-R1	B_biased_purifying
Morus_001676-R1	B_biased_purifying
Morus_001678-R1	A_biased_purifying
Morus_001693-R1	B_biased_purifying
Morus_001700-R1	B_biased_purifying
Morus_001714-R1	B_biased_purifying
Morus_001726-R2	B_biased_purifying
Morus_001742-R1	B_biased_purifying
Morus_001779-R1	A_biased_purifying
Morus_001781-R2	B_biased_purifying
Morus_001797-R1	B_biased_purifying
Morus_001812-R1	A_biased_purifying
Morus_001826-R1	B_biased_purifying
Morus_001867-R1	B_biased_purifying
Morus_001888-R1	B_biased_purifying
Morus_001890-R1	B_biased_purifying
Morus_001930-R1	B_biased_purifying
Morus_001933-R1	A_biased_purifying
Morus_001968-R1	A_biased_purifying
Morus_002021-R1	B_biased_purifying
Morus_002024-R1	B_biased_purifying
Morus_002054-R1	B_biased_purifying
Morus_002065-R1	B_biased_purifying
Morus_002130-R1	B_biased_purifying
Morus_002183-R1	B_biased_purifying
Morus_002194-R1	B_biased_purifying
Morus_002195-R1	B_biased_purifying
Morus_002196-R1	B_biased_purifying
Morus_002203-R1	B_biased_purifying
Morus_002208-R1	B_biased_purifying
Morus_002210-R1	B_biased_purifying
Morus_002240-R1	B_biased_purifying
Morus_002261-R1	B_biased_purifying
Morus_002283-R1	B_biased_purifying
Morus_002284-R2	A_biased_purifying
Morus_002285-R1	B_biased_purifying
Morus_002286-R1	B_biased_purifying
Morus_002287-R1	B_biased_purifying
Morus_002289-R1	B_biased_purifying
Morus_002291-R1	B_biased_purifying
Morus_002295-R1	B_biased_purifying
Morus_002299-R1	B_biased_purifying
Morus_002301-R1	B_biased_purifying
Morus_002305-R1	A_biased_purifying
Morus_002323-R1	B_biased_purifying
Morus_002331-R1	B_biased_purifying
Morus_002337-R1	B_biased_purifying
Morus_002345-R1	B_biased_purifying
Morus_002356-R1	B_biased_purifying
Morus_002377-R1	B_biased_purifying
Morus_002379-R1	A_biased_purifying
Morus_002381-R1	B_biased_purifying
Morus_002382-R1	B_biased_purifying
Morus_002405-R1	B_biased_purifying
Morus_002417-R1	B_biased_purifying
Morus_002431-R1	B_biased_purifying
Morus_002442-R1	B_biased_purifying
Morus_002447-R1	B_biased_purifying
Morus_002457-R1	B_biased_purifying
Morus_002458-R1	B_biased_purifying
Morus_002462-R1	B_biased_purifying
Morus_002475-R1	B_biased_purifying
Morus_002482-R1	B_biased_purifying
Morus_002495-R1	B_biased_purifying
Morus_002509-R1	B_biased_purifying
Morus_002535-R1	B_biased_purifying
Morus_002547-R1	B_biased_purifying
Morus_002561-R1	B_biased_purifying
Morus_002565-R2	A_biased_purifying
Morus_002577-R1	B_biased_purifying
Morus_002588-R1	B_biased_purifying
Morus_002592-R1	B_biased_purifying
Morus_002599-R1	B_biased_purifying
Morus_002609-R1	B_biased_purifying
Morus_002632-R1	B_biased_purifying
Morus_002634-R1	B_biased_purifying
Morus_002647-R1	B_biased_purifying
Morus_002661-R1	A_biased_purifying
Morus_002662-R1	B_biased_purifying
Morus_002666-R1	B_biased_purifying
Morus_002670-R2	B_biased_purifying
Morus_002677-R1	B_biased_purifying
Morus_002685-R1	B_biased_purifying
Morus_002696-R1	B_biased_purifying
Morus_002699-R1	B_biased_purifying
Morus_002701-R1	B_biased_purifying
Morus_002710-R1	B_biased_purifying
Morus_002734-R1	B_biased_purifying
Morus_002739-R1	B_biased_purifying
Morus_002741-R1	B_biased_purifying
Morus_002746-R1	B_biased_purifying
Morus_002773-R1	A_biased_purifying
Morus_002786-R1	B_biased_purifying
Morus_002805-R2	B_biased_purifying
Morus_002806-R1	B_biased_purifying
Morus_002809-R1	B_biased_purifying
Morus_002855-R1	B_biased_purifying
Morus_002882-R1	B_biased_purifying
Morus_002889-R1	B_biased_purifying
Morus_002922-R1	B_biased_purifying
Morus_002926-R1	A_biased_purifying
Morus_002932-R1	B_biased_purifying
Morus_002939-R1	B_biased_purifying
Morus_002959-R1	B_biased_purifying
Morus_002968-R1	B_biased_purifying
Morus_002970-R1	B_biased_purifying
Morus_002981-R1	B_biased_purifying
Morus_002986-R1	B_biased_purifying
Morus_003004-R1	B_biased_purifying
Morus_003014-R1	B_biased_purifying
Morus_003019-R1	B_biased_purifying
Morus_003022-R3	B_biased_purifying
Morus_003024-R1	B_biased_purifying
Morus_003051-R1	B_biased_purifying
Morus_003063-R1	B_biased_purifying
Morus_003066-R1	B_biased_purifying
Morus_003080-R1	B_biased_purifying
Morus_003102-R1	B_biased_purifying
Morus_003139-R1	A_biased_purifying
Morus_003147-R1	B_biased_purifying
Morus_003151-R1	B_biased_purifying
Morus_003152-R1	A_biased_purifying
Morus_003155-R1	B_biased_purifying
Morus_003179-R1	B_biased_purifying
Morus_003184-R1	A_biased_purifying
Morus_003190-R1	B_biased_purifying
Morus_003211-R1	B_biased_purifying
Morus_003236-R1	B_biased_purifying
Morus_003247-R1	B_biased_purifying
Morus_003262-R1	B_biased_purifying
Morus_003269-R1	B_biased_purifying
Morus_003329-R1	B_biased_purifying
Morus_003330-R1	B_biased_purifying
Morus_003363-R1	B_biased_purifying
Morus_003372-R1	B_biased_purifying
Morus_003382-R1	B_biased_purifying
Morus_003384-R1	B_biased_purifying
Morus_003389-R1	B_biased_purifying
Morus_003399-R1	A_biased_purifying
Morus_003402-R1	B_biased_purifying
Morus_003406-R1	B_biased_purifying
Morus_003445-R1	B_biased_purifying
Morus_003458-R1	B_biased_purifying
Morus_003495-R1	B_biased_purifying
Morus_003505-R1	B_biased_purifying
Morus_003506-R1	B_biased_purifying
Morus_003508-R1	B_biased_purifying
Morus_003525-R3	B_biased_purifying
Morus_003533-R1	A_biased_purifying
Morus_003536-R1	B_biased_purifying
Morus_003547-R1	B_biased_purifying
Morus_003563-R1	B_biased_purifying
Morus_003583-R1	A_biased_purifying
Morus_003606-R1	B_biased_purifying
Morus_003609-R1	B_biased_purifying
Morus_003610-R1	B_biased_purifying
Morus_003659-R1	B_biased_purifying
Morus_003661-R1	B_biased_purifying
Morus_003688-R1	B_biased_purifying
Morus_003693-R1	B_biased_purifying
Morus_003707-R1	B_biased_purifying
Morus_003710-R1	B_biased_purifying
Morus_003713-R1	B_biased_purifying
Morus_003717-R1	B_biased_purifying
Morus_003718-R1	B_biased_purifying
Morus_003735-R2	B_biased_purifying
Morus_003749-R1	B_biased_purifying
Morus_003751-R1	A_biased_purifying
Morus_003775-R1	A_biased_purifying
Morus_003783-R1	B_biased_purifying
Morus_003825-R1	B_biased_purifying
Morus_003835-R1	B_biased_purifying
Morus_003836-R1	B_biased_purifying
Morus_003849-R1	B_biased_purifying
Morus_003852-R1	A_biased_purifying
Morus_003853-R1	B_biased_purifying
Morus_003858-R1	B_biased_purifying
Morus_003859-R1	B_biased_purifying
Morus_003860-R1	A_biased_purifying
Morus_003862-R1	B_biased_purifying
Morus_003890-R1	B_biased_purifying
Morus_003913-R1	B_biased_purifying
Morus_003917-R1	B_biased_purifying
Morus_003934-R1	B_biased_purifying
Morus_003935-R2	B_biased_purifying
Morus_003939-R1	B_biased_purifying
Morus_003947-R1	B_biased_purifying
Morus_003948-R1	B_biased_purifying
Morus_003971-R1	A_biased_purifying
Morus_004026-R1	B_biased_purifying
Morus_004031-R1	A_biased_purifying
Morus_004048-R1	B_biased_purifying
Morus_004066-R1	B_biased_purifying
Morus_004075-R1	B_biased_purifying
Morus_004078-R1	B_biased_purifying
Morus_004084-R1	B_biased_purifying
Morus_004102-R1	B_biased_purifying
Morus_004124-R1	B_biased_purifying
Morus_004129-R1	B_biased_purifying
Morus_004143-R1	A_biased_purifying
Morus_004156-R1	B_biased_purifying
Morus_004195-R1	B_biased_purifying
Morus_004230-R1	B_biased_purifying
Morus_004276-R1	B_biased_purifying
Morus_004312-R1	B_biased_purifying
Morus_004362-R1	A_biased_purifying
Morus_004505-R1	B_biased_purifying
Morus_004522-R1	A_biased_purifying
Morus_004524-R1	B_biased_purifying
Morus_004529-R1	A_biased_purifying
Morus_004530-R1	B_biased_purifying
Morus_004534-R1	B_biased_purifying
Morus_004553-R1	B_biased_purifying
Morus_004579-R1	B_biased_purifying
Morus_004583-R4	B_biased_purifying
Morus_004588-R2	B_biased_purifying
Morus_004590-R1	B_biased_purifying
Morus_004597-R2	B_biased_purifying
Morus_004604-R1	B_biased_purifying
