Morus_000003-R1	Bato_000003-R1	ArtoA_013067-R1	ArtoB_020652-R1
Morus_000006-R1	Bato_000006-R1	ArtoA_011723-R1	ArtoB_unassigned_transcript_563
Morus_000007-R1	Bato_000007-R1	ArtoA_unassigned_transcript_239	ArtoB_023545-R1
Morus_000008-R1	Bato_000008-R1	ArtoA_011854-R1	ArtoB_003853-R1
Morus_000010-R1	Bato_000010-R1	ArtoA_009201-R1	ArtoB_001349-R1
Morus_000011-R1	Bato_000011-R1	ArtoA_010613-R1	ArtoB_005859-R1
Morus_000012-R1	Bato_000012-R1	ArtoA_012226-R1	ArtoB_002805-R1
Morus_000013-R1	Bato_000013-R1	ArtoA_007815-R1	ArtoB_002814-R1
Morus_000016-R1	Bato_000016-R1	ArtoA_012091-R1	ArtoB_030559-R1
Morus_000018-R1	Bato_000018-R1	ArtoA_012341-R1	ArtoB_033504-R1
Morus_000019-R1	Bato_000019-R1	ArtoA_009395-R1	ArtoB_001155-R1
Morus_000026-R2	Bato_000026-R2	ArtoA_010007-R1	ArtoB_018630-R2
Morus_000027-R1	Bato_000027-R1	ArtoA_unassigned_transcript_1083	ArtoB_002567-R1
Morus_000028-R1	Bato_000028-R1	ArtoA_011576-R1	ArtoB_032564-R1
Morus_000029-R1	Bato_000029-R1	ArtoA_007034-R1	ArtoB_029620-R1
Morus_000030-R1	Bato_000030-R1	ArtoA_010875-R1	ArtoB_003677-R1
Morus_000031-R2	Bato_000031-R2	ArtoA_007306-R1	ArtoB_028898-R1
Morus_000032-R1	Bato_000032-R1	ArtoA_012136-R1	ArtoB_unassigned_transcript_712
Morus_000038-R1	Bato_000038-R1	ArtoA_unassigned_transcript_907	ArtoB_004191-R1
Morus_000042-R1	Bato_000042-R1	ArtoA_007981-R1	ArtoB_003267-R1
Morus_000045-R1	Bato_000045-R1	ArtoA_010708-R1	ArtoB_029887-R1
Morus_000046-R1	Bato_000046-R1	ArtoA_012066-R2	ArtoB_unassigned_transcript_708
Morus_000049-R1	Bato_000049-R1	ArtoA_011848-R1	ArtoB_unassigned_transcript_561
Morus_000053-R1	Bato_000053-R1	ArtoA_unassigned_transcript_984	ArtoB_030039-R1
Morus_000060-R1	Bato_000060-R1	ArtoA_011750-R1	ArtoB_019981-R1
Morus_000063-R1	Bato_000063-R1	ArtoA_011603-R1	ArtoB_003949-R1
Morus_000066-R1	Bato_000066-R1	ArtoA_008339-R2	ArtoB_028580-R1
Morus_000067-R3	Bato_000067-R3	ArtoA_010356-R1	ArtoB_030260-R1
Morus_000068-R1	Bato_000068-R1	ArtoA_032970-R1	ArtoB_024618-R1
Morus_000069-R1	Bato_000069-R1	ArtoA_011761-R1	ArtoB_031486-R1
Morus_000070-R1	Bato_000070-R1	ArtoA_006996-R1	ArtoB_028783-R1
Morus_000071-R1	Bato_000071-R1	ArtoA_012214-R1	ArtoB_003819-R1
Morus_000077-R1	Bato_000077-R1	ArtoA_015094-R1	ArtoB_022183-R1
Morus_000078-R3	Bato_000078-R3	ArtoA_008833-R1	ArtoB_002678-R2
Morus_000079-R1	Bato_000079-R1	ArtoA_012124-R1	ArtoB_029045-R1
Morus_000080-R1	Bato_000080-R1	ArtoA_012121-R1	ArtoB_031427-R1
Morus_000085-R1	Bato_000085-R1	ArtoA_003976-R1	ArtoB_026954-R1
Morus_000087-R1	Bato_000087-R1	ArtoA_006282-R1	ArtoB_002736-R2
Morus_000090-R1	Bato_000090-R1	ArtoA_012086-R1	ArtoB_022483-R1
Morus_000096-R1	Bato_000096-R1	ArtoA_011368-R1	ArtoB_003646-R1
Morus_000097-R1	Bato_000097-R1	ArtoA_008139-R1	ArtoB_029643-R1
Morus_000104-R1	Bato_000104-R1	ArtoA_005223-R1	ArtoB_022340-R1
Morus_000107-R1	Bato_000107-R1	ArtoA_009676-R1	ArtoB_033064-R1
Morus_000108-R1	Bato_000108-R1	ArtoA_009672-R1	ArtoB_033054-R1
Morus_000112-R1	Bato_000112-R1	ArtoA_007428-R1	ArtoB_unassigned_transcript_727
Morus_000114-R1	Bato_000114-R1	ArtoA_011886-R1	ArtoB_unassigned_transcript_608
Morus_000115-R1	Bato_000115-R1	ArtoA_007171-R1	ArtoB_028575-R1
Morus_000117-R1	Bato_000117-R1	ArtoA_017283-R1	ArtoB_020577-R1
Morus_000122-R2	Bato_000122-R2	ArtoA_012074-R2	ArtoB_000988-R1
Morus_000124-R1	Bato_000124-R1	ArtoA_012193-R1	ArtoB_unassigned_transcript_860
Morus_000128-R1	Bato_000128-R1	ArtoA_011698-R1	ArtoB_unassigned_transcript_662
Morus_000130-R1	Bato_000130-R1	ArtoA_011992-R1	ArtoB_001164-R1
Morus_000131-R1	Bato_000131-R1	ArtoA_012112-R2	ArtoB_030594-R1
Morus_000132-R1	Bato_000132-R1	ArtoA_012573-R1	ArtoB_022742-R1
Morus_000133-R1	Bato_000133-R1	ArtoA_011695-R1	ArtoB_032880-R1
Morus_000134-R1	Bato_000134-R1	ArtoA_007653-R1	ArtoB_000923-R1
Morus_000135-R1	Bato_000135-R1	ArtoA_010295-R1	ArtoB_029053-R1
Morus_000136-R2	Bato_000136-R2	ArtoA_011997-R6	ArtoB_unassigned_transcript_686
Morus_000137-R1	Bato_000137-R1	ArtoA_009726-R1	ArtoB_029033-R1
Morus_000138-R1	Bato_000138-R1	ArtoA_012073-R1	ArtoB_003561-R1
Morus_000139-R1	Bato_000139-R1	ArtoA_011970-R1	ArtoB_002352-R1
Morus_000148-R3	Bato_000148-R3	ArtoA_006921-R1	ArtoB_002175-R1
Morus_000149-R1	Bato_000149-R1	ArtoA_011873-R1	ArtoB_029444-R1
Morus_000150-R1	Bato_000150-R1	ArtoA_011961-R1	ArtoB_005823-R1
Morus_000151-R1	Bato_000151-R1	ArtoA_012150-R1	ArtoB_034051-R1
Morus_000152-R1	Bato_000152-R1	ArtoA_011779-R1	ArtoB_005752-R1
Morus_000158-R1	Bato_000158-R1	ArtoA_011824-R1	ArtoB_028531-R1
Morus_000160-R1	Bato_000160-R1	ArtoA_007623-R1	ArtoB_unassigned_transcript_621
Morus_000161-R1	Bato_000161-R1	ArtoA_012022-R1	ArtoB_005815-R1
Morus_000165-R1	Bato_000165-R1	ArtoA_011859-R1	ArtoB_005996-R1
Morus_000167-R1	Bato_000167-R1	ArtoA_unassigned_transcript_1075	ArtoB_030798-R1
Morus_000169-R1	Bato_000169-R1	ArtoA_unassigned_transcript_966	ArtoB_001842-R1
Morus_000171-R1	Bato_000171-R1	ArtoA_018008-R1	ArtoB_unassigned_transcript_355
Morus_000172-R1	Bato_000172-R1	ArtoA_007084-R1	ArtoB_033433-R1
Morus_000173-R1	Bato_000173-R1	ArtoA_011815-R1	ArtoB_032238-R1
Morus_000174-R1	Bato_000174-R1	ArtoA_012220-R1	ArtoB_028539-R1
Morus_000175-R1	Bato_000175-R1	ArtoA_unassigned_transcript_12	ArtoB_022346-R4
Morus_000180-R1	Bato_000180-R1	ArtoA_010729-R1	ArtoB_029670-R1
Morus_000191-R1	Bato_000191-R1	ArtoA_unassigned_transcript_1068	ArtoB_028105-R1
Morus_000192-R1	Bato_000192-R1	ArtoA_012068-R1	ArtoB_002668-R1
Morus_000193-R1	Bato_000193-R1	ArtoA_011863-R1	ArtoB_000350-R1
Morus_000199-R1	Bato_000199-R1	ArtoA_012209-R1	ArtoB_028819-R1
Morus_000201-R1	Bato_000201-R1	ArtoA_011920-R1	ArtoB_006471-R1
Morus_000207-R1	Bato_021317-R1	ArtoA_008097-R1	ArtoB_005719-R1
Morus_000211-R1	Bato_000211-R1	ArtoA_unassigned_transcript_983	ArtoB_032622-R1
Morus_000214-R1	Bato_010266-R1	ArtoA_012264-R1	ArtoB_002429-R1
Morus_000216-R2	Bato_000216-R2	ArtoA_011755-R1	ArtoB_001223-R1
Morus_000217-R1	Bato_000217-R1	ArtoA_018061-R1	ArtoB_025442-R1
Morus_000218-R1	Bato_000218-R1	ArtoA_012228-R1	ArtoB_001559-R1
Morus_000221-R1	Bato_000221-R1	ArtoA_012101-R1	ArtoB_001549-R1
Morus_000222-R1	Bato_000222-R1	ArtoA_012048-R2	ArtoB_000097-R1
Morus_000223-R1	Bato_000223-R1	ArtoA_006810-R1	ArtoB_001263-R1
Morus_000226-R1	Bato_000226-R1	ArtoA_011964-R1	ArtoB_028737-R1
Morus_000228-R1	Bato_000228-R1	ArtoA_012111-R1	ArtoB_004244-R1
Morus_000230-R1	Bato_000230-R1	ArtoA_007092-R1	ArtoB_022402-R1
Morus_000233-R1	Bato_000233-R1	ArtoA_010639-R1	ArtoB_029697-R1
Morus_000234-R1	Bato_000234-R1	ArtoA_010896-R1	ArtoB_000914-R1
Morus_000235-R1	Bato_000235-R1	ArtoA_010744-R1	ArtoB_unassigned_transcript_559
Morus_000237-R1	Bato_000237-R1	ArtoA_012222-R1	ArtoB_033653-R1
Morus_000238-R1	Bato_000238-R1	ArtoA_011399-R2	ArtoB_004083-R17
Morus_000240-R1	Bato_000240-R1	ArtoA_007198-R1	ArtoB_022418-R1
Morus_000242-R1	Bato_000242-R1	ArtoA_008350-R1	ArtoB_unassigned_transcript_624
Morus_000243-R1	Bato_000243-R1	ArtoA_007780-R1	ArtoB_029807-R1
Morus_000244-R3	Bato_000244-R3	ArtoA_010442-R1	ArtoB_001926-R1
Morus_000247-R1	Bato_000247-R1	ArtoA_009493-R1	ArtoB_033673-R1
Morus_000249-R1	Bato_000249-R1	ArtoA_006901-R1	ArtoB_030367-R1
Morus_000252-R1	Bato_000252-R1	ArtoA_006883-R1	ArtoB_029909-R1
Morus_000253-R1	Bato_000253-R1	ArtoA_011696-R2	ArtoB_002219-R2
Morus_000258-R1	Bato_000258-R1	ArtoA_011927-R1	ArtoB_015793-R1
Morus_000259-R1	Bato_000259-R1	ArtoA_011932-R1	ArtoB_028767-R1
Morus_000261-R1	Bato_000261-R1	ArtoA_012157-R1	ArtoB_031436-R2
Morus_000264-R1	Bato_000264-R1	ArtoA_007182-R1	ArtoB_002868-R1
Morus_000266-R1	Bato_000266-R1	ArtoA_012083-R1	ArtoB_unassigned_transcript_755
Morus_000267-R1	Bato_000267-R1	ArtoA_006657-R1	ArtoB_031841-R1
Morus_000269-R1	Bato_000269-R1	ArtoA_012178-R1	ArtoB_032632-R1
Morus_000276-R1	Bato_000276-R1	ArtoA_012055-R1	ArtoB_028677-R1
Morus_000281-R1	Bato_000281-R1	ArtoA_unassigned_transcript_1080	ArtoB_003503-R1
Morus_000288-R1	Bato_000288-R1	ArtoA_014243-R1	ArtoB_013047-R1
Morus_000290-R1	Bato_000290-R1	ArtoA_014061-R1	ArtoB_012897-R2
Morus_000291-R1	Bato_000291-R1	ArtoA_014192-R1	ArtoB_027606-R1
Morus_000292-R1	Bato_000292-R1	ArtoA_014104-R1	ArtoB_012475-R1
