# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Complete	Chr26	3514625	3517096	+	223.4	121	https://www.orthodb.org/?query=1064at3193	Dual specificity phosphatase
2466at3193	Complete	Chr18	10528896	10527837	-	365.4	210	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Complete	Chr11	5234240	5232698	-	321.3	181	https://www.orthodb.org/?query=4636at3193	protein translocase subunit SecA
10350at3193	Complete	Chr26	4706759	4712599	+	498.0	366	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr18	131252	126008	-	1020.2	476	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr13	21251287	21252925	+	815.5	445	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Complete	Chr08	43847183	43849890	+	405.5	211	https://www.orthodb.org/?query=18578at3193	PsbP domain-containing protein 4, chloroplastic
22478at3193	Complete	Chr06	27027609	27031209	+	412.0	279	https://www.orthodb.org/?query=22478at3193	Nuclear pore complex protein NUP43
24431at3193	Complete	Chr11	27556702	27562841	+	887.2	537	https://www.orthodb.org/?query=24431at3193	Outer envelope protein 61
25348at3193	Complete	Chr26	34116791	34100765	-	673.8	384	https://www.orthodb.org/?query=25348at3193	L-2-HYDROXYGLUTARATE DEHYDROGENASE MITOCHONDRIAL
26319at3193	Complete	Chr18	30495268	30505200	+	681.5	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr13	14584729	14580538	-	472.2	279	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Complete	Chr18	3096523	3092928	-	924.3	661	https://www.orthodb.org/?query=29004at3193	Mitochondrial carrier protein
29531at3193	Complete	Chr06	5046682	5050218	+	695.5	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Complete	Chr08	8443463	8439619	-	1044.5	498	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Complete	Chr18	33277477	33280792	+	857.2	506	https://www.orthodb.org/?query=30885at3193	dol-p-glc:glc(2)man(9)glcnac(2)-pp-dol alpha-1,2-glucosyltransferase
32353at3193	Complete	Chr11	17531236	17527788	-	596.0	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Complete	Chr13	27143182	27146022	+	555.0	298	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
34178at3193	Complete	Chr28	20247207	20250849	+	529.4	306	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr18	33103020	33098112	-	815.2	492	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr19	7828263	7815539	-	1497.0	928	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr04	12251665	12248193	-	670.8	342	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr11	27334637	27352550	+	1496.1	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Complete	Chr08	9574259	9576175	+	207.2	136	https://www.orthodb.org/?query=40191at3193	Spindle and kinetochore-associated protein
40604at3193	Complete	Chr19	7688389	7693248	+	683.0	399	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Complete	Chr22	17927741	17931076	+	504.3	285	https://www.orthodb.org/?query=40647at3193	atp synthase protein i
41656at3193	Complete	Chr01	2489889	2492761	+	145.3	80	https://www.orthodb.org/?query=41656at3193	RNA polymerase II transcriptional coactivator
42511at3193	Complete	Chr19	7293510	7294488	+	446.3	272	https://www.orthodb.org/?query=42511at3193	S-adenosyl-L-methionine-dependent methyltransferase
44148at3193	Complete	Chr10	10694994	10696593	+	782.9	479	https://www.orthodb.org/?query=44148at3193	U3 small nucleolar RNA-associated protein
44385at3193	Complete	Chr08	703385	698170	-	1496.9	690	https://www.orthodb.org/?query=44385at3193	1,4-alpha-glucan-branching enzyme
