Morus_008105-R1	HART063A_000001-R1
Morus_007209-R1	HART063A_000064-R1
Morus_008644-R1	HART063A_001126-R1
Morus_008214-R1	HART063A_001194-R1
Morus_008511-R1	HART063A_001331-R1
Morus_008907-R1	HART063A_001396-R1
Morus_015664-R1	HART063A_001870-R1
Morus_015196-R1	HART063A_001871-R1
Morus_014621-R2	HART063A_001873-R1
Morus_014508-R1	HART063A_001874-R1
Morus_014509-R1	HART063A_001875-R1
Morus_015822-R1	HART063A_001877-R1
Morus_unassigned_transcript_3896	HART063A_001878-R1
Morus_015499-R1	HART063A_001879-R1
Morus_014607-R1	HART063A_001880-R1
Morus_015279-R1	HART063A_001882-R1
Morus_014573-R1	HART063A_001886-R1
Morus_014767-R1	HART063A_001888-R1
Morus_015162-R2	HART063A_001890-R1
Morus_015354-R1	HART063A_001891-R1
Morus_unassigned_transcript_3844	HART063A_001893-R1
Morus_015686-R1	HART063A_001895-R1
Morus_014812-R1	HART063A_001896-R1
Morus_unassigned_transcript_3930	HART063A_001898-R1
Morus_015706-R1	HART063A_001899-R1
Morus_015826-R1	HART063A_001902-R2
Morus_015320-R1	HART063A_001904-R1
Morus_015173-R1	HART063A_001905-R1
Morus_014257-R1	HART063A_001910-R1
Morus_014789-R1	HART063A_001911-R1
Morus_014729-R1	HART063A_001912-R1
Morus_014405-R1	HART063A_001913-R1
Morus_014434-R1	HART063A_001914-R1
Morus_014470-R1	HART063A_001916-R1
Morus_015730-R3	HART063A_001920-R2
Morus_014277-R1	HART063A_001921-R2
Morus_015991-R1	HART063A_001922-R1
Morus_015232-R1	HART063A_001923-R2
Morus_014731-R1	HART063A_001924-R1
Morus_015825-R1	HART063A_001929-R1
Morus_014661-R1	HART063A_001930-R1
Morus_014539-R1	HART063A_001931-R1
Morus_unassigned_transcript_4161	HART063A_001933-R1
Morus_015454-R1	HART063A_001934-R1
Morus_015844-R1	HART063A_001937-R1
Morus_015577-R1	HART063A_001939-R1
Morus_016036-R1	HART063A_001941-R1
Morus_015394-R1	HART063A_001944-R1
Morus_015582-R1	HART063A_001945-R1
