Accession	Accession Order	Species	Group	Latitude	Longitude	Region	Name	Ploidy	Homozygous Coverage	HiFi Path	HiC R1 Path	HiC R2 Path	reference	Left Kmer Peak	Color	Shape	HiFi Output (Gb)	HiFi Mean Length (Kb)	HiC Output (Gb)	Genome Size (Flow Cytometry, Mb)	Genome Size (K-mer, Mb)	Genome Size (Assembly, Mb)	Genome Size (Assembly within Chromosomes, Mb)	BUSCO Complete (%)	BUSCO Single Copy (%)	Assembly within Chromosomes (%)	Chromosomes	Sequences	Contigs	Gaps	Contig N50 (Mb)	Scaffold N50 (Mb)
HART001	1	Artocarpus altilis	A. altilis	-15.193996	-172.423176	W Poly	Maafala	2	68	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART001.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART001.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART001.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	34	#D73027	21	59.32	11.21	50.46	890.96	872	843.3	841.53	98.3	69.3	0.9979	28	64	162	98	15.43	30.94
HART067	15	Artocarpus mariannensis	A. mariannensis	16.706861	145.209222	Micro	Dugdug	2	47	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART067.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART067.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART067.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	23	#F46D43	22	37.35	10.21	9.78	857.14	812	784.25	776.81	98.5	70.2	0.9905	28	201	294	93	17.6	28.39
HART063	16	Artocarpus camansi	A. camansi	6.397993	104.171012	Asia	Breadnut	2	46	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART063.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART063.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART063.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	23	#FDAE61	23	37.9	9.8	12.33	831.08	824	769.99	767.13	98.2	71	0.9963	28	83	158	75	19.66	27.81
HART061	17	Artocarpus odoratissimus	A. odoratissimus	6.397993	104.171012	Asia	Terap	2	79	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART061.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART061.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART061.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	39	#FEE090	21	72.36	12.95	44.31	889.28	928	885.09	856.35	98.8	65.7	0.9675	28	478	639	161	12.47	30.85
HART062	17	Artocarpus odoratissimus	A. odoratissimus	6.397993	104.171012	Asia	Terap	2	34	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART062.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART062.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART062.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	17	#FEE090	21	31.83	7.13	29.74	944.01	936	852.14	848	98.6	65.6	0.9951	28	118	274	156	12.35	31.18
HART058	19	Artocarpus rigidus	A. rigidus	6.397993	104.171012	Asia	Monkey Jack	2	116	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART058.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART058.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART058.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	58	#FFFFBF	22	104.68	17.33	12.88	942.57	902	872.71	858.24	98.8	66.3	0.9834	28	248	372	124	15.11	30.66
HART027	20	Artocarpus heterophyllus	A. heterophyllus	6.397993	104.171012	Asia	Jackfruit	2	26	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART027.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART027.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART027.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	13	#E0F3F8	23	27.41	11.54	18.64	1092.85	1054	979	971.33	98.2	61.5	0.9922	28	137	277	140	17.16	35.18
HART060	21	Artocarpus dadah	A. dadah	6.397993	104.171012	Asia	Dadak	2	21	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART060.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART060.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART060.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	11	#ABD9E9	21	18.48	16.58	39.60589661	840.53	840	804.7	801.32	98.4	72.8	0.9958	28	85	208	123	16.66	28.11
N97_50	22	Artocarpus lacucha	A. lacucha	6.397993	104.171012	Asia	Monkey Fruit	2	25	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/N97_50.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/N97_50.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/N97_50.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	12.5	#74ADD1	22	19.69	20.12	52.60805829	817.21	788	729.07	728.38	97.9	72.1	0.9991	28	37	130	93	19.82	26.74
HART068	23	Artocarpus nitidus	A. nitidus	6.397993	104.171012	Asia	Selanking	2	33	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART068.HiFi.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART068.HiC.R1.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/HART068.HiC.R2.fastq.gz	/project/coffea_pangenome/Artocarpus/Concatenated_Reads/ASM2540343.fa	11.5	#4575B4	23	26.44	9.94	8.03	831.02	1150	745.25	740.57	98.2	72.2	0.9937	28	71	177	106	16.7	26.42
