tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications	Antiaris_toxicaria
DNA	10092223	14683	0.0147980850891619	681995200	63	Antiaris_toxicaria
LINE	1391425	4374	0.00204022696933937	681995200	16	Antiaris_toxicaria
LTR	391640175	186491	0.574256497699691	681995200	407	Antiaris_toxicaria
Other (Simple Repeat, Microsatellite, RNA)	15509643	269034	0.0227415720814457	681995200	5771	Antiaris_toxicaria
Rolling Circle	3999766	5062	0.00586480080798223	681995200	148	Antiaris_toxicaria
SINE	932659	1960	0.00136754481556468	681995200	1	Antiaris_toxicaria
Unclassified	98941520	285750	0.145076563588717	681995200	740	Antiaris_toxicaria
DNA	14454889	16094	0.0454106202914374	318315163	102	Ficus_carica
LINE	1678569	6272	0.00527329262037071	318315163	24	Ficus_carica
LTR	46042619	34480	0.144644755738513	318315163	274	Ficus_carica
Other (Simple Repeat, Microsatellite, RNA)	13837356	303268	0.0434706153159283	318315163	5571	Ficus_carica
Rolling Circle	2879760	5369	0.00904688288443237	318315163	37	Ficus_carica
SINE	5113	32	0.0000160626969567265	318315163	1	Ficus_carica
Unclassified	84719009	299377	0.266148204193465	318315163	1193	Ficus_carica
DNA	32440414	33783	0.0384683567201751	843301268	78	HART001
LINE	6801367	12230	0.00806516871026453	843301268	27	HART001
LTR	349294039	244312	0.414198403648078	843301268	458	HART001
Other (Simple Repeat, Microsatellite, RNA)	16815971	309143	0.0199406447471392	843301268	6806	HART001
Rolling Circle	4478285	11869	0.00531042128114054	843301268	75	HART001
SINE	321709	1627	0.000381487627503484	843301268	3	HART001
Unclassified	168384247	486715	0.199672707002262	843301268	901	HART001
DNA	22529533	39737	0.0230127513233886	979002149	79	HART027
LINE	4394670	16783	0.00448892783788976	979002149	29	HART027
LTR	456237966	267284	0.466023457115006	979002149	507	HART027
Other (Simple Repeat, Microsatellite, RNA)	18631738	314748	0.0190313555685566	979002149	6797	HART027
Penelope	121648	328	0.000124257132759368	979002149	1	HART027
Rolling Circle	3133959	5950	0.00320117683418895	979002149	60	HART027
Unclassified	200045800	518557	0.20433642582331	979002149	835	HART027
DNA	29663530	40628	0.0341646734165102	868251531	77	HART058
LINE	6736788	20657	0.00775902806902163	868251531	27	HART058
LTR	337032682	219493	0.388174014057684	868251531	486	HART058
