# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Complete	Chr25	31690992	31688880	-	221.8	121	https://www.orthodb.org/?query=1064at3193	Dual specificity phosphatase
2466at3193	Complete	Chr17	36445184	36443346	-	371.1	210	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Complete	Chr12	4998342	4996851	-	328.4	182	https://www.orthodb.org/?query=4636at3193	protein translocase subunit SecA
10350at3193	Complete	Chr25	30541212	30539745	-	494.2	366	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr17	25329597	25320502	-	808.3	428	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr14	11875781	11874186	-	673.2	445	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Complete	Chr07	33613894	33611509	-	413.8	228	https://www.orthodb.org/?query=18578at3193	PsbP domain-containing protein 4, chloroplastic
22478at3193	Complete	Chr05	14966498	14963247	-	320.8	279	https://www.orthodb.org/?query=22478at3193	Nuclear pore complex protein NUP43
24431at3193	Missing
25348at3193	Missing
26319at3193	Complete	Chr17	6304771	6300060	-	663.1	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr14	16662774	16703239	+	368.8	289	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Missing
29531at3193	Complete	Chr05	1965057	1960487	-	694.2	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Missing
30885at3193	Complete	Chr17	1410974	1407582	-	866.0	506	https://www.orthodb.org/?query=30885at3193	dol-p-glc:glc(2)man(9)glcnac(2)-pp-dol alpha-1,2-glucosyltransferase
32353at3193	Complete	Chr12	16092204	16088929	-	574.2	298	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Complete	Chr14	7678970	7667987	-	432.3	287	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
34178at3193	Complete	Chr27	16465661	16482562	+	510.6	306	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr17	1866478	1884024	+	677.5	489	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr20	6927061	6919504	-	1525.2	926	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr03	9387039	9375434	-	669.8	365	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr12	27885446	27874396	-	1498.3	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Missing
40604at3193	Complete	Chr20	6389183	6400876	+	506.0	341	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Fragmented	Chr21	13854896	13855803	+	129.8	93	https://www.orthodb.org/?query=40647at3193	atp synthase protein i
41656at3193	Complete	Chr02	2006163	2008636	+	144.5	82	https://www.orthodb.org/?query=41656at3193	RNA polymerase II transcriptional coactivator
42511at3193	Missing
44148at3193	Complete	Chr09	11294905	11296408	+	639.4	477	https://www.orthodb.org/?query=44148at3193	U3 small nucleolar RNA-associated protein
44385at3193	Complete	Chr07	644278	639010	-	1493.3	692	https://www.orthodb.org/?query=44385at3193	1,4-alpha-glucan-branching enzyme
