gene	nseq	nsites	k	LRT	pvalue	direction	result	n_test	n_reference
Morus_000003-R1	20	346	2.700778812152095	2.917999059221074	0.08759642521550892	intensified	not_significant	9	9
Morus_000003-R1	20	346	50	2.89951588630538	0.08860616003486432	intensified	not_significant	1	1
Morus_000007-R1	20	299	0.1759747668883163	4.823248443026387	0.02807838059961665	relaxed	significant_relaxed	9	9
Morus_000007-R1	20	299	11.19777087218057	0.537864928775889	0.4633189185913625	intensified	not_significant	1	1
Morus_000011-R1	20	266	1.569357748085569	0.3329095472263361	0.5639508430900809	intensified	not_significant	9	9
Morus_000011-R1	20	266	28.14475001198018	0.8862582813681001	0.3464932964447919	intensified	not_significant	1	1
Morus_000012-R1	20	142	18.44369371107931	0.7493429789717538	0.3866843273136537	intensified	not_significant	9	9
Morus_000012-R1	20	142	9.652553603476219E-7	0.1864016223621547	0.6659285443602116	relaxed	not_significant	1	1
Morus_000016-R1	20	248	0.7794405051454902	0.2151535365292148	0.6427577556198735	relaxed	not_significant	9	9
Morus_000016-R1	20	248	0.1440172296684639	2.970964323547378	0.08477130841373393	relaxed	not_significant	1	1
Morus_000026-R2	20	459	20.03572333082123	0.2397854052696857	0.6243611493761017	intensified	not_significant	9	9
Morus_000026-R2	20	459	0.9370171050090073	0.003955194795707939	0.9498538276261431	relaxed	not_significant	1	1
Morus_000029-R1	20	110	0.8532122904775881	-0.000003427150204515783	1	relaxed	not_significant	9	9
Morus_000029-R1	20	110	0.8532122481873216	-0.000002972177071569604	1	relaxed	not_significant	1	1
Morus_000030-R1	20	316	0.8304147169527195	0.1600104064773404	0.6891469359982058	relaxed	not_significant	9	9
Morus_000030-R1	20	316	0.892251452578567	0.01593857877742266	0.8995355501084646	relaxed	not_significant	1	1
Morus_000032-R1	20	215	0.8813096885036381	0.1861871600503946	0.666109140251858	relaxed	not_significant	9	9
Morus_000032-R1	20	215	0.03684873284999666	2.154052132448669	0.1421941702653859	relaxed	not_significant	1	1
Morus_000042-R1	20	367	0.5591488712642035	1.044717412707541	0.3067268589847478	relaxed	not_significant	9	9
Morus_000042-R1	20	367	0.1901902902399895	0.295452726948497	0.5867472971533366	relaxed	not_significant	1	1
Morus_000063-R1	20	133	0.1179111680094946	0.5781526580094578	0.4470373323866952	relaxed	not_significant	9	9
Morus_000063-R1	20	133	0.6209903403349522	0.1144645973572551	0.7351174044496908	relaxed	not_significant	1	1
Morus_000066-R1	20	415	7.266864253298815	2.530786245875788	0.1116445738677757	intensified	not_significant	9	9
Morus_000066-R1	20	415	0.003735064562070896	0.3197277896015294	0.5717712793913046	relaxed	not_significant	1	1
Morus_000067-R3	20	537	0.6945829731028479	0.5877970095525598	0.4432722680947239	relaxed	not_significant	9	9
Morus_000067-R3	20	537	0.5993802731171799	0.2494227517199761	0.6174818292980427	relaxed	not_significant	1	1
Morus_000068-R1	20	308	1.895467560783124	1.562801374407172	0.2112555162308289	intensified	not_significant	9	9
Morus_000068-R1	20	308	0.7374104802541176	0.2343427465575587	0.6283222776190547	relaxed	not_significant	1	1
Morus_000077-R1	20	683	1.316020210616554	0.6336551601216343	0.4260177385436877	intensified	not_significant	9	9
Morus_000077-R1	20	683	0.7616041506785857	0.2622415363712207	0.6085843547306968	relaxed	not_significant	1	1
Morus_000078-R3	20	201	0.9427629957109241	0.00726629399241574	0.9320685559106658	relaxed	not_significant	9	9
Morus_000078-R3	20	201	5.335115167895738E-16	0.9920755817925055	0.3192356128216703	relaxed	not_significant	1	1
Morus_000085-R1	20	819	0.7436757562819574	0.5432431134522631	0.4610917742233902	relaxed	not_significant	9	9
Morus_000085-R1	20	819	0.2148768300530736	7.591511557080594	0.005864375896796226	relaxed	significant_relaxed	1	1
Morus_000090-R1	20	176	0.2629017522396814	1.623363969762067	0.202623367342968	relaxed	not_significant	9	9
Morus_000090-R1	20	176	1.118980759071654E-8	1.346314498232914	0.2459234560601716	relaxed	not_significant	1	1
Morus_000096-R1	20	247	0.490274937174347	1.483431702189137	0.223238371658425	relaxed	not_significant	9	9
Morus_000096-R1	20	247	0.2798056950381219	0.5674566051970942	0.451271367503272	relaxed	not_significant	1	1
Morus_000097-R1	20	320	0.9941160907244512	-0.00008175200218829559	1	relaxed	not_significant	9	9
Morus_000097-R1	20	320	1.363390348243565	0.3529429873706249	0.5524518855938287	intensified	not_significant	1	1
Morus_000107-R1	20	219	0.834022721396673	0.00804362322378438	0.9285365437746413	relaxed	not_significant	9	9
Morus_000107-R1	20	219	23.96815979642021	0.3450592229983158	0.5569233985314413	intensified	not_significant	1	1
Morus_000108-R1	20	240	1.289333045071252	0.2020745601466842	0.6530515061838913	intensified	not_significant	9	9
Morus_000108-R1	20	240	0.854468844605337	-0.00003752920747501776	1	relaxed	not_significant	1	1
Morus_000115-R1	20	340	1.956519295380573	1.893286771569365	0.1688316718235769	intensified	not_significant	9	9
Morus_000115-R1	20	340	0	3.16563147202487	0.07520334772003878	relaxed	not_significant	1	1
Morus_000117-R1	20	1208	0.6877784720564802	1.438279883126597	0.2304178957202806	relaxed	not_significant	9	9
Morus_000117-R1	20	1208	1.035737230854647	0.002174912387999939	0.9628033744889295	intensified	not_significant	1	1
Morus_000122-R2	20	833	0.7301052675872393	1.17067412869801	0.2792627685734209	relaxed	not_significant	9	9
Morus_000122-R2	20	833	0.3346858901995987	3.350828902650392	0.06717118114429188	relaxed	not_significant	1	1
Morus_000131-R1	20	663	1.147221355050043	0.1836272827513312	0.6682743657715735	intensified	not_significant	9	9
Morus_000131-R1	20	663	1.068046833605593	0.008442553255008534	0.9267907062344007	intensified	not_significant	1	1
Morus_000132-R1	20	359	1.485778177531125	1.299898827361176	0.2542317048358566	intensified	not_significant	9	9
Morus_000132-R1	20	359	0	5.709453693772048	0.01687378973237985	relaxed	significant_relaxed	1	1
Morus_000133-R1	20	429	1.763660289505413	1.629336868893006	0.2017947934984471	intensified	not_significant	9	9
Morus_000133-R1	20	429	18.44029906588662	1.156344394546977	0.282224973058579	intensified	not_significant	1	1
Morus_000136-R2	20	450	0.8859598483746822	0.04013956823109766	0.8412079425837873	relaxed	not_significant	9	9
Morus_000136-R2	20	450	0.0914601453386026	4.918356642094295	0.02657278156981446	relaxed	significant_relaxed	1	1
Morus_000137-R1	20	411	0.5172185827943055	1.420689318487348	0.2332899780278472	relaxed	not_significant	9	9
Morus_000137-R1	20	411	50	2.542980611698113	0.1107854746791634	intensified	not_significant	1	1
Morus_000138-R1	20	801	0.9701086478994826	0.002444712723445264	0.9605654351846614	relaxed	not_significant	9	9
Morus_000138-R1	20	801	0.6646147288664928	0.761291845336018	0.3829245451589469	relaxed	not_significant	1	1
Morus_000148-R3	20	305	1.410173659171042	0.5209930089167756	0.4704183998426832	intensified	not_significant	9	9
Morus_000148-R3	20	305	2.153163836223359E-8	0.4017313908325377	0.5261964466124557	relaxed	not_significant	1	1
Morus_000152-R1	20	670	1.727436601729345	1.877572871548182	0.1706102633807928	intensified	not_significant	9	9
Morus_000152-R1	20	670	10.07893247915517	1.58662258230288	0.2078093370731497	intensified	not_significant	1	1
