# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Missing
2466at3193	Complete	Chr18	8530398	8529317	-	405.6	209	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Missing
10350at3193	Complete	Chr26	21035564	21037049	+	498.5	365	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr18	161887	156764	-	1020.2	476	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr13	14598974	14602057	+	809.1	445	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Missing
22478at3193	Fragmented	Chr06	15039994	15042771	+	237.9	186	https://www.orthodb.org/?query=22478at3193	Nuclear pore complex protein NUP43
24431at3193	Complete	Chr11	20846003	20852012	+	901.1	537	https://www.orthodb.org/?query=24431at3193	Outer envelope protein 61
25348at3193	Complete	Chr26	13510500	13506442	-	676.7	384	https://www.orthodb.org/?query=25348at3193	L-2-HYDROXYGLUTARATE DEHYDROGENASE MITOCHONDRIAL
26319at3193	Complete	Chr18	22880650	22885339	+	675.0	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr13	8200494	8196615	-	469.6	279	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Complete	Chr18	2945139	2932090	-	841.2	663	https://www.orthodb.org/?query=29004at3193	Mitochondrial carrier protein
29531at3193	Missing
29727at3193	Complete	Chr08	33660732	33656862	-	1045.8	498	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Missing
32353at3193	Complete	Chr11	13598641	13595211	-	592.8	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Complete	Chr13	18462383	18459466	-	553.3	299	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
34178at3193	Complete	Chr28	27067356	27070992	+	533.4	306	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr18	25609024	25598711	-	811.6	492	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr19	6111545	6098515	-	1428.2	923	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr04	9471001	9467855	-	573.5	342	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr11	20764400	20774979	+	1486.0	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Missing
40604at3193	Complete	Chr19	6024906	6029510	+	682.0	385	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Complete	Chr22	13655447	13667609	+	481.3	284	https://www.orthodb.org/?query=40647at3193	atp synthase protein i
