Gene	ID	Subset	omega_A	omega_B	pos_A	pos_B	puri_A	puri_B	log2_omega_ratio	cand
Morus_000003-R1	C	22	0.569899674046118	0.149698194511179	FALSE	FALSE	FALSE	TRUE	1.92865114617116	purifying
Morus_000026-R2	C	22	0.10053485577402	0.0695052950156436	FALSE	FALSE	FALSE	TRUE	0.532500981609058	purifying
Morus_000045-R1	C	22	0.473789207179917	0.11669572632194	FALSE	FALSE	FALSE	TRUE	2.02149360760626	purifying
Morus_000060-R1	C	22	0.154274276948833	0.0594270346410863	FALSE	FALSE	FALSE	TRUE	1.37630623439957	purifying
Morus_000067-R3	C	22	0.727376762626209	0.244145118108156	FALSE	FALSE	FALSE	TRUE	1.57496390667806	purifying
Morus_000096-R1	C	22	0.270781635647694	0.115589272480028	FALSE	FALSE	FALSE	TRUE	1.22812238743952	purifying
Morus_000115-R1	C	22	0.974956692486958	0.16401048658919	FALSE	FALSE	FALSE	TRUE	2.57155007427478	purifying
Morus_000128-R1	C	22	0.406454639834269	0.112759205355957	FALSE	FALSE	FALSE	TRUE	1.84984914112584	purifying
Morus_000132-R1	C	22	1.06992166409126	0.036375453899623	FALSE	FALSE	FALSE	TRUE	4.87839611085287	purifying
Morus_000134-R1	C	22	0.195137924893471	0.0371136288650544	FALSE	FALSE	FALSE	TRUE	2.39447321611672	purifying
Morus_000136-R2	C	22	0.817519565376001	0.087037847295038	FALSE	FALSE	FALSE	TRUE	3.23153847847926	purifying
Morus_000173-R1	C	22	1.1470638155198	0.127474007617921	FALSE	FALSE	FALSE	TRUE	3.1696706444183	purifying
Morus_000182-R1	C	22	0.257054793492916	0.172032690504623	FALSE	FALSE	FALSE	TRUE	0.579393176310788	purifying
Morus_000214-R1	C	22	0.814170761781109	0.208388019256944	FALSE	FALSE	FALSE	TRUE	1.96605907695109	purifying
Morus_000247-R1	C	22	0.344525872742019	0.0518668837583155	FALSE	FALSE	FALSE	TRUE	2.73172673048174	purifying
Morus_000261-R1	C	22	0.161951467680727	0.0359561401675721	FALSE	FALSE	FALSE	TRUE	2.17125147923609	purifying
Morus_000267-R1	C	22	0.354374618200924	0.190690653778571	FALSE	FALSE	FALSE	TRUE	0.894041140388079	purifying
Morus_000292-R1	C	22	0.234852400671843	0.0822885718586873	FALSE	FALSE	TRUE	TRUE	1.51299035110594	purifying
Morus_000293-R1	C	22	0.108797850575369	0.0637009866228974	FALSE	FALSE	TRUE	TRUE	0.772262432070332	purifying
Morus_000297-R1	C	22	0.264538127298474	0.17150259864313	FALSE	FALSE	FALSE	TRUE	0.625245233208668	purifying
Morus_000300-R1	C	22	0.259452897786843	0.111346667141214	FALSE	FALSE	TRUE	TRUE	1.22041427355999	purifying
Morus_000304-R1	C	22	0.462732220767557	0.0521800390713474	FALSE	FALSE	FALSE	TRUE	3.14860762998181	purifying
Morus_000306-R1	C	22	1.19185713302853	0.234668329626941	FALSE	FALSE	FALSE	TRUE	2.34451625460588	purifying
Morus_000312-R1	C	22	1.0686839614299	0.307652058838221	FALSE	FALSE	FALSE	TRUE	1.79646372008972	purifying
Morus_000314-R2	C	22	0.463902703767342	0.0732999341000724	FALSE	FALSE	FALSE	TRUE	2.66193844825698	purifying
Morus_000315-R1	C	22	0.389748514269858	0.2238070828867	FALSE	FALSE	FALSE	TRUE	0.800287828928486	purifying
Morus_000318-R1	C	22	0.534182687541651	0.359353448064063	FALSE	FALSE	FALSE	TRUE	0.571929691015129	purifying
Morus_000328-R1	C	22	0.376987677058237	0.0573566294893369	FALSE	FALSE	FALSE	TRUE	2.71648521260056	purifying
Morus_000332-R1	J	22	0.0506697278780446	0.716226071466765	FALSE	FALSE	TRUE	FALSE	-3.82121904940627	purifying
Morus_000335-R2	C	22	0.489629262308774	0.12031398345144	FALSE	FALSE	FALSE	TRUE	2.02488545314967	purifying
Morus_000347-R1	C	22	0.679179006329297	0.121685601319539	FALSE	FALSE	FALSE	TRUE	2.48063339683739	purifying
Morus_000355-R1	C	22	0.508798297642902	0.216431924325239	FALSE	FALSE	FALSE	TRUE	1.23318052711722	purifying
Morus_000358-R1	C	22	0.198313448272755	0.0988574164454499	FALSE	FALSE	FALSE	TRUE	1.00436140620054	purifying
